Variant name,own_driveway_percentage
Austria_car_2030,0.048
Belgium_car_2030,0.137
Bulgaria_car_2030,0.093
Croatia_car_2030,0.142
Cyprus_car_2030,0.311
Czechia_car_2030,0.052
Denmark_car_2030,0.119
Estonia_car_2030,0.113
Finland_car_2030,0.154
France_car_2030,0.21
Germany_car_2030,0.079
Greece_car_2030,0.048
Hungary_car_2030,0.126
Ireland_car_2030,0.301
Italy_car_2030,0.086
Latvia_car_2030,0.059
Lithuania_car_2030,0.056
Luxembourg_car_2030,0.049
Malta_car_2030,0.397
Netherlands_car_2030,0.369
Norway_car_2030,0.162
Poland_car_2030,0.078
Portugal_car_2030,0.153
Romania_car_2030,0.06
Slovakia_car_2030,0.031
Slovenia_car_2030,0.082
Spain_car_2030,0.079
Sweden_car_2030,0.142
Switzerland_car_2030,0.053
United_Kingdom_car_2030,0.469
Austria_car_2040,0.048
Belgium_car_2040,0.137
Bulgaria_car_2040,0.093
Croatia_car_2040,0.142
Cyprus_car_2040,0.311
Czechia_car_2040,0.052
Denmark_car_2040,0.119
Estonia_car_2040,0.113
Finland_car_2040,0.154
France_car_2040,0.21
Germany_car_2040,0.079
Greece_car_2040,0.048
Hungary_car_2040,0.126
Ireland_car_2040,0.301
Italy_car_2040,0.086
Latvia_car_2040,0.059
Lithuania_car_2040,0.056
Luxembourg_car_2040,0.049
Malta_car_2040,0.397
Netherlands_car_2040,0.369
Norway_car_2040,0.162
Poland_car_2040,0.078
Portugal_car_2040,0.153
Romania_car_2040,0.06
Slovakia_car_2040,0.031
Slovenia_car_2040,0.082
Spain_car_2040,0.079
Sweden_car_2040,0.142
Switzerland_car_2040,0.053
United_Kingdom_car_2040,0.469
Austria_car_2050,0.048
Belgium_car_2050,0.137
Bulgaria_car_2050,0.093
Croatia_car_2050,0.142
Cyprus_car_2050,0.311
Czechia_car_2050,0.052
Denmark_car_2050,0.119
Estonia_car_2050,0.113
Finland_car_2050,0.154
France_car_2050,0.21
Germany_car_2050,0.079
Greece_car_2050,0.048
Hungary_car_2050,0.126
Ireland_car_2050,0.301
Italy_car_2050,0.086
Latvia_car_2050,0.059
Lithuania_car_2050,0.056
Luxembourg_car_2050,0.049
Malta_car_2050,0.397
Netherlands_car_2050,0.369
Norway_car_2050,0.162
Poland_car_2050,0.078
Portugal_car_2050,0.153
Romania_car_2050,0.06
Slovakia_car_2050,0.031
Slovenia_car_2050,0.082
Spain_car_2050,0.079
Sweden_car_2050,0.142
Switzerland_car_2050,0.053
United_Kingdom_car_2050,0.469
