DATAFLOW,LAST UPDATE,freq,unit,mot_nrg,engine,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2014,378053,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2015,403630,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2016,435613,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2017,417426,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2018,460027,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2019,499590,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2020,539497,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2021,593280,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2022,639379,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2023,699337,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2014,4694921,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2015,4748048,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2016,4821557,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2017,4898578,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2018,4978852,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2019,5039548,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2020,5091827,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2021,5133836,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2022,5150890,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2023,5185006,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2014,799891,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2015,827224,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2016,859975,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2017,882999,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2018,919226,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2019,939283,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2020,936417,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2021,983077,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2022,1006142,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2023,1044950,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2014,5584690,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2015,5662059,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2016,5731292,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2017,5798939,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2018,5848425,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2019,5881874,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2020,5897488,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2021,5926009,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2022,5955127,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2023,6047551,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2014,3013863,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2015,3162037,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2016,3143568,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2017,2770615,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2018,2773325,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2019,2829946,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2020,2866763,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2021,2830464,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2022,2896777,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2023,3006215,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2014,4431886,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2015,4508898,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2016,4578963,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2017,4630054,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2018,4666278,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2019,4692741,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2020,4733517,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2021,4793803,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2022,4812896,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2023,4861544,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2014,478492,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2015,487692,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2016,508284,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2017,526617,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2018,550695,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2019,572501,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2020,578158,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2021,592156,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2022,601131,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2023,621116,s
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2014,4833386,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2015,5115316,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2016,5307808,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2017,5538222,
