Country code,Vehicle,Year,Scenario,Total Fleet,electricity proportion,gasoline proportion,diesel proportion,hydrogen proportion,CNG proportion,LNG proportion,LPG proportion
AT,bus,2030,GA,10136,0.401010215,0.00026561,0.459831623,0.1,0.038892552,0,0
BE,bus,2030,GA,16606,0.182361231,0.002497915,0.701959691,0.0625,0.050681162,0,0
BG,bus,2030,GA,17352,0.12162043,0.000129138,0.623762962,0.1425,0.111987469,0,0
HR,bus,2030,GA,5136,0.02543847,0.000577356,0.95504849,0,0.018935684,0,0
CY,bus,2030,GA,2774,0.1065,0.001808631,0.724191369,0.1425,0.025,0,0
CZ,bus,2030,GA,20489,0.119403978,0.005169547,0.640407122,0.0625,0.172519354,0,0
DK,bus,2030,GA,8684,0.107392225,0.000382356,0.747501053,0.0625,0.082224367,0,0
EE,bus,2030,GA,5327,0.212327548,0.003532583,0.523363343,0.1,0.155776526,0.005,0
FI,bus,2030,GA,10476,0.063432327,0.000425178,0.573591691,0.115740741,0.246810063,0,0
FR,bus,2030,GA,94523,0.242053929,0.000500617,0.541974565,0,0.215470889,0,0
DE,bus,2030,GA,80225,0.176969173,0.000264335,0.634203851,0.15,0.03856264,0,0
GR,bus,2030,GA,28034,0.031889104,0.00022087,0.768069744,0.143518519,0.056301764,0,0
HU,bus,2030,GA,17723,0.11699764,0.000885626,0.699152248,0.1425,0.040464486,0,0
IE,bus,2030,GA,6758,0.281442543,0.000387825,0.643169632,0.025,0,0.05,0
IT,bus,2030,GA,100199,0.082205784,0.000430315,0.629856438,0.075,0.097507463,0.115,0
LV,bus,2030,GA,3742,0.157040802,0.001697407,0.672713421,0.1425,0.026048371,0,0
LT,bus,2030,GA,8069,0.176022366,0.002331938,0.551623157,0.1425,0.127522539,0,0
LU,bus,2030,GA,2217,0.489079849,0.000297725,0.495622426,0.015,0,0,0
MT,bus,2030,GA,2306,0.052129519,0.00099875,0.946871731,0,0,0,0
NL,bus,2030,GA,9316,0.431370472,0.017685415,0.307073693,0.11935,0.124151471,0.000368949,0
NO,bus,2030,GA,15558,0.102914326,0.000100171,0.754010225,0.0625,0.080475279,0,0
PL,bus,2030,GA,126547,0.102914326,0.000100171,0.754010225,0.0625,0.080475279,0,0
PT,bus,2030,GA,17300,0.151750401,0.000349485,0.683613339,0.0625,0.101786775,0,0
RO,bus,2030,GA,54351,0.107685115,0.00055384,0.724261045,0.1425,0.025,0,0
SK,bus,2030,GA,8282,0.125288879,0.000261789,0.746949332,0.0625,0.065,0,0
SI,bus,2030,GA,2502,0.107539646,0.000345641,0.67928365,0.1425,0.070331063,0,0
ES,bus,2030,GA,60998,0.10340083,0.001280382,0.607851873,0,0.287466915,0,0
SE,bus,2030,GA,13594,0.05584101,0.000721699,0.590349722,0.2,0.15308757,0,0
CH,bus,2030,GA,9224,0.12162043,0.000129138,0.623762962,0.1425,0.111987469,0,0
UK,bus,2030,GA,81652,0.182361231,0.002497915,0.701959691,0.0625,0.050681162,0,0
AT,bus,2040,GA,10136,0.8,0,0,0.2,0,0,0
BE,bus,2040,GA,16606,0.355,0.002,0.468,0.125,0.05,0,0
BG,bus,2040,GA,17352,0.213,0,0.452,0.285,0.05,0,0
HR,bus,2040,GA,5136,0.05,0,0.94,0,0.01,0,0
CY,bus,2040,GA,2774,0.213,0,0.452,0.285,0.05,0,0
CZ,bus,2040,GA,20489,0.213,0,0.532,0.125,0.13,0,0
DK,bus,2040,GA,8684,0.213,0,0.532,0.125,0.13,0,0
EE,bus,2040,GA,5327,0.39,0,0.25,0.2,0.15,0.01,0
FI,bus,2040,GA,10476,0.114814815,0,0.203703704,0.231481481,0.45,0,0
FR,bus,2040,GA,94523,0.48,0,0.22,0,0.3,0,0
DE,bus,2040,GA,80225,0.35,0,0.3,0.3,0.05,0,0
GR,bus,2040,GA,28034,0.060962963,0,0.602,0.287037037,0.05,0,0
HU,bus,2040,GA,17723,0.213,0,0.452,0.285,0.05,0,0
IE,bus,2040,GA,6758,0.55,0,0.3,0.05,0,0.1,0
IT,bus,2040,GA,100199,0.16,0,0.39,0.15,0.07,0.23,0
LV,bus,2040,GA,3742,0.213,0,0.452,0.285,0.05,0,0
LT,bus,2040,GA,8069,0.213,0,0.452,0.285,0.05,0,0
LU,bus,2040,GA,2217,0.95,0,0.02,0.03,0,0,0
MT,bus,2040,GA,2306,0.103,0,0.897,0,0,0,0
NL,bus,2040,GA,9316,0.728,0.0333,0,0.2387,0,0,0
NO,bus,2040,GA,15558,0.2,0,0.535,0.125,0.14,0,0
PL,bus,2040,GA,126547,0.2,0,0.535,0.125,0.14,0,0
PT,bus,2040,GA,17300,0.3,0,0.475,0.125,0.1,0,0
RO,bus,2040,GA,54351,0.213,0,0.452,0.285,0.05,0,0
SK,bus,2040,GA,8282,0.213,0,0.532,0.125,0.13,0,0
SI,bus,2040,GA,2502,0.213,0,0.452,0.285,0.05,0,0
ES,bus,2040,GA,60998,0.2,0,0.45,0,0.35,0,0
SE,bus,2040,GA,13594,0.098,0,0.452,0.4,0.05,0,0
CH,bus,2040,GA,9224,0.213,0,0.452,0.285,0.05,0,0
UK,bus,2040,GA,81652,0.355,0.002,0.468,0.125,0.05,0,0
AT,bus,2050,GA,10136,0.8,0,0,0.2,0,0,0
BE,bus,2050,GA,16606,0.7,0,0,0.25,0.05,0,0
BG,bus,2050,GA,17352,0.4,0,0.14,0.4,0.06,0,0
HR,bus,2050,GA,5136,0.69,0,0.27,0,0.04,0,0
CY,bus,2050,GA,2774,0.4,0,0.14,0.4,0.06,0,0
CZ,bus,2050,GA,20489,0.4,0,0.22,0.23,0.15,0,0
DK,bus,2050,GA,8684,0.5,0,0,0.5,0,0,0
EE,bus,2050,GA,5327,0.55,0,0.05,0.35,0.05,0,0
FI,bus,2050,GA,10476,0.157407408,0,0,0.583333333,0.259259259,0,0
FR,bus,2050,GA,94523,0.47,0,0,0.08,0.45,0,0
DE,bus,2050,GA,80225,0.35,0,0.3,0.3,0.05,0,0
GR,bus,2050,GA,28034,0.296296296,0,0,0.703703704,0,0,0
HU,bus,2050,GA,17723,0.4,0,0.14,0.4,0.06,0,0
IE,bus,2050,GA,6758,0.8,0,0,0.1,0,0.1,0
IT,bus,2050,GA,100199,0.4,0,0.05,0.37,0.04,0.14,0
LV,bus,2050,GA,3742,0.4,0,0.14,0.4,0.06,0,0
LT,bus,2050,GA,8069,0.4,0,0.14,0.4,0.06,0,0
LU,bus,2050,GA,2217,0.87962963,0,0,0.12037037,0,0,0
MT,bus,2050,GA,2306,0.4,0,0.14,0.4,0.06,0,0
NL,bus,2050,GA,9316,0.5,0.1,0,0.4,0,0,0
NO,bus,2050,GA,15558,0.39,0,0.22,0.23,0.16,0,0
PL,bus,2050,GA,126547,0.39,0,0.22,0.23,0.16,0,0
PT,bus,2050,GA,17300,0.6,0,0.05,0.25,0.1,0,0
RO,bus,2050,GA,54351,0.4,0,0.14,0.4,0.06,0,0
SK,bus,2050,GA,8282,0.4,0,0.22,0.23,0.15,0,0
SI,bus,2050,GA,2502,0.4,0,0.14,0.4,0.06,0,0
ES,bus,2050,GA,60998,0.65,0,0,0.2,0.15,0,0
SE,bus,2050,GA,13594,0.2,0,0.14,0.6,0.06,0,0
CH,bus,2050,GA,9224,0.4,0,0.14,0.4,0.06,0,0
UK,bus,2050,GA,81652,0.7,0,0,0.25,0.05,0,0
AT,truck,2030,GA,74473,0.325,0.005424216,0.519480935,0.15,9.48486E-05,0,0
BE,truck,2030,GA,138807,0.1435,0.014934464,0.674658546,0.115,0.00190699,0.05,0
BG,truck,2030,GA,53325.61,0.025,0.011601134,0.75585668,0.155,0.052542186,0,0
HR,truck,2030,GA,51072,0,0.004675677,0.950303285,0.035,0.010021038,0,0
CY,truck,2030,GA,13710,0.025,0.070687255,0.696812745,0.155,0.0525,0,0
CZ,truck,2030,GA,186905,0.025,0.020248161,0.787103191,0.085,0.047648647,0.035,0
DK,truck,2030,GA,43227,0.025,0.015925143,0.791415931,0.085,0.082658926,0,0
EE,truck,2030,GA,41014,0.065,0.050295996,0.724704004,0.075,0.04,0.045,0
FI,truck,2030,GA,94771,0,0.013623732,0.685280345,0.148148148,0.0788737,0.074074075,0
FR,truck,2030,GA,616467,0.150000032,0.013891405,0.661021684,0.05,0.090086879,0.035,0
DE,truck,2030,GA,964696,0.200000092,0.004752779,0.495176735,0.1,7.03937E-05,0.2,0
GR,truck,2030,GA,225571,0.018518519,0.108533872,0.483983935,0.175925926,0.213037749,0,0
HU,truck,2030,GA,95964,0.025,0.009470091,0.757858513,0.155,0.052671396,0,0
IE,truck,2030,GA,48158,0.055,0.000250996,0.649749004,0.22,0,0.075,0
IT,truck,2030,GA,960284,0.06,0.016518358,0.578432747,0.105,4.88952E-05,0.24,0
LV,truck,2030,GA,33144,0.025,0.003240033,0.764252967,0.155,0.052507,0,0
LT,truck,2030,GA,73019,0.025,0.002380276,0.765111335,0.155,0.052508389,0,0
LU,truck,2030,GA,13966,0.415,0.000633957,0.549366043,0.035,0,0,0
MT,truck,2030,GA,6834.49,0.0465,0.03983666,0.90716334,0,0.0065,0,0
NL,truck,2030,GA,158108,0.136855467,0,0.660594533,0.20255,0,0,0
NO,truck,2030,GA,88137,0.065,0.014039173,0.745925234,0.15,0.025035593,0,0
PL,truck,2030,GA,1234074,0.017500035,0.039520248,0.775426045,0.085,0.082553672,0,0
