Variant name,own_driveway_percentage
BEALB_car_2030,0.732551458
BEANT_car_2030,0.648676174
BEBRU_car_2030,0.506315345
BECHA_car_2030,0.75055111
BEFLA_car_2030,0.752678117
BEGHE_car_2030,0.764766404
BEHAI_car_2030,0.79829723
BELIE_car_2030,0.724613893
NLCHE_car_2030,0.748728079
NLEAS_car_2030,0.777950766
NLEEM_car_2030,0.74488426
NLNOO_car_2030,0.512397976
NLNOR_car_2030,0.784249659
NLROT_car_2030,0.600055169
NLSOU_car_2030,0.76095765
NLWES_car_2030,0.584913301
NLZEE_car_2030,0.824582318
BEALB_car_2040,0.732551458
BEANT_car_2040,0.648676174
BEBRU_car_2040,0.506315345
BECHA_car_2040,0.75055111
BEFLA_car_2040,0.752678117
BEGHE_car_2040,0.764766404
BEHAI_car_2040,0.79829723
BELIE_car_2040,0.724613893
NLCHE_car_2040,0.748728079
NLEAS_car_2040,0.777950766
NLEEM_car_2040,0.74488426
NLNOO_car_2040,0.512397976
NLNOR_car_2040,0.784249659
NLROT_car_2040,0.600055169
NLSOU_car_2040,0.76095765
NLWES_car_2040,0.584913301
NLZEE_car_2040,0.824582318
BEALB_car_2050,0.732551458
BEANT_car_2050,0.648676174
BEBRU_car_2050,0.506315345
BECHA_car_2050,0.75055111
BEFLA_car_2050,0.752678117
BEGHE_car_2050,0.764766404
BEHAI_car_2050,0.79829723
BELIE_car_2050,0.724613893
NLCHE_car_2050,0.748728079
NLEAS_car_2050,0.777950766
NLEEM_car_2050,0.74488426
NLNOO_car_2050,0.512397976
NLNOR_car_2050,0.784249659
NLROT_car_2050,0.600055169
NLSOU_car_2050,0.76095765
NLWES_car_2050,0.584913301
NLZEE_car_2050,0.824582318
