Scenario,Total Fleet (thousands),electricity proportion,gasoline proportion,diesel proportion,hydrogen proportion,CNG proportion,LNG proportion,LPG proportion
BEALB_car_own_driveway_2030,571.7453909,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEANT_car_own_driveway_2030,428.3935737,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEBRU_car_own_driveway_2030,841.6474202,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BECHA_car_own_driveway_2030,569.9137772,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEFLA_car_own_driveway_2030,668.6797372,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEGHE_car_own_driveway_2030,267.1119864,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEHAI_car_own_driveway_2030,226.2850713,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BELIE_car_own_driveway_2030,483.4458388,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
NLCHE_car_own_driveway_2030,236.9061847,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLEAS_car_own_driveway_2030,1594.30122,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLEEM_car_own_driveway_2030,368.9826721,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLNOO_car_own_driveway_2030,393.848761,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLNOR_car_own_driveway_2030,499.3044404,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLROT_car_own_driveway_2030,640.6234334,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLSOU_car_own_driveway_2030,1042.679043,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLWES_car_own_driveway_2030,1066.023553,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLZEE_car_own_driveway_2030,173.4466982,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
BEALB_car_own_driveway_2040,571.7453909,0.549,0.292,0.073,0.082,0.004,0,0
BEANT_car_own_driveway_2040,428.3935737,0.549,0.292,0.073,0.082,0.004,0,0
BEBRU_car_own_driveway_2040,841.6474202,0.549,0.292,0.073,0.082,0.004,0,0
BECHA_car_own_driveway_2040,569.9137772,0.549,0.292,0.073,0.082,0.004,0,0
BEFLA_car_own_driveway_2040,668.6797372,0.549,0.292,0.073,0.082,0.004,0,0
BEGHE_car_own_driveway_2040,267.1119864,0.549,0.292,0.073,0.082,0.004,0,0
BEHAI_car_own_driveway_2040,226.2850713,0.549,0.292,0.073,0.082,0.004,0,0
BELIE_car_own_driveway_2040,483.4458388,0.549,0.292,0.073,0.082,0.004,0,0
NLCHE_car_own_driveway_2040,236.9061847,0.4199,0.3837,0.0397,0.1567,0,0,0
NLEAS_car_own_driveway_2040,1594.30122,0.4199,0.3837,0.0397,0.1567,0,0,0
NLEEM_car_own_driveway_2040,368.9826721,0.4199,0.3837,0.0397,0.1567,0,0,0
NLNOO_car_own_driveway_2040,393.848761,0.4199,0.3837,0.0397,0.1567,0,0,0
NLNOR_car_own_driveway_2040,499.3044404,0.4199,0.3837,0.0397,0.1567,0,0,0
NLROT_car_own_driveway_2040,640.6234334,0.4199,0.3837,0.0397,0.1567,0,0,0
NLSOU_car_own_driveway_2040,1042.679043,0.4199,0.3837,0.0397,0.1567,0,0,0
NLWES_car_own_driveway_2040,1066.023553,0.4199,0.3837,0.0397,0.1567,0,0,0
NLZEE_car_own_driveway_2040,173.4466982,0.4199,0.3837,0.0397,0.1567,0,0,0
BEALB_car_own_driveway_2050,571.7453909,0.85,0,0,0.15,0,0,0
BEANT_car_own_driveway_2050,428.3935737,0.85,0,0,0.15,0,0,0
BEBRU_car_own_driveway_2050,841.6474202,0.85,0,0,0.15,0,0,0
BECHA_car_own_driveway_2050,569.9137772,0.85,0,0,0.15,0,0,0
BEFLA_car_own_driveway_2050,668.6797372,0.85,0,0,0.15,0,0,0
BEGHE_car_own_driveway_2050,267.1119864,0.85,0,0,0.15,0,0,0
BEHAI_car_own_driveway_2050,226.2850713,0.85,0,0,0.15,0,0,0
BELIE_car_own_driveway_2050,483.4458388,0.85,0,0,0.15,0,0,0
NLCHE_car_own_driveway_2050,236.9061847,0.7,0.05,0,0.25,0,0,0
NLEAS_car_own_driveway_2050,1594.30122,0.7,0.05,0,0.25,0,0,0
NLEEM_car_own_driveway_2050,368.9826721,0.7,0.05,0,0.25,0,0,0
NLNOO_car_own_driveway_2050,393.848761,0.7,0.05,0,0.25,0,0,0
NLNOR_car_own_driveway_2050,499.3044404,0.7,0.05,0,0.25,0,0,0
NLROT_car_own_driveway_2050,640.6234334,0.7,0.05,0,0.25,0,0,0
NLSOU_car_own_driveway_2050,1042.679043,0.7,0.05,0,0.25,0,0,0
NLWES_car_own_driveway_2050,1066.023553,0.7,0.05,0,0.25,0,0,0
NLZEE_car_own_driveway_2050,173.4466982,0.7,0.05,0,0.25,0,0,0
BEALB_car_street_parking_2030,222.2133451,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEANT_car_street_parking_2030,234.6720703,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEBRU_car_street_parking_2030,693.1907553,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BECHA_car_street_parking_2030,175.694094,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEFLA_car_street_parking_2030,219.7165387,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEGHE_car_street_parking_2030,82.1606609,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BEHAI_car_street_parking_2030,57.17460119,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
BELIE_car_street_parking_2030,204.7628137,0.276069321,0.283063942,0.393334184,0.041,0.003049542,0,0.003483012
NLCHE_car_street_parking_2030,79.50532873,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLEAS_car_street_parking_2030,470.6546898,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLEEM_car_street_parking_2030,127.7022824,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLNOO_car_street_parking_2030,374.78964,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLNOR_car_street_parking_2030,211.1422754,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLROT_car_street_parking_2030,440.42719,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLSOU_car_street_parking_2030,321.081436,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
NLWES_car_street_parking_2030,838.7899345,0.217768233,0.514622643,0.171534473,0.07835,0,0,0.01772465
