Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1114086.2137817158,141305.7737688148,0.0,0.0,1850.3167191247974
"Week 2, 2018",1279989.8056915188,162348.25247094664,0.0,0.0,2125.8557089050905
"Week 3, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 4, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 5, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 6, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 7, 2018",1307664.711293584,165858.41524084957,0.0,0.0,2171.8192437754133
"Week 8, 2018",1111613.2213284294,140992.11033073146,0.0,0.0,1846.2094792846663
"Week 9, 2018",1279989.8056915188,162348.25247094664,0.0,0.0,2125.8557089050905
"Week 10, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 11, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 12, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 13, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 14, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 15, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 16, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 17, 2018",1307664.711293584,165858.41524084957,0.0,0.0,2171.8192437754133
"Week 18, 2018",1111613.2213284294,140992.11033073146,0.0,0.0,1846.2094792846663
"Week 19, 2018",1279989.8056915188,162348.25247094664,0.0,0.0,2125.8557089050905
"Week 20, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 21, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 22, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 23, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 24, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 25, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 26, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 27, 2018",1307664.711293584,165858.41524084957,0.0,0.0,2171.8192437754133
"Week 28, 2018",1035628.7614473786,131354.57710836895,0.0,0.0,1720.0116009047415
"Week 29, 2018",1038101.753900665,131668.24054645232,0.0,0.0,1724.1188407448726
"Week 30, 2018",1403511.11942245,178015.15023682237,0.0,0.0,2331.004600559343
"Week 31, 2018",1043047.7388166809,132295.5674238168,0.0,0.0,1732.3333204408186
"Week 32, 2018",1038101.753900665,131668.24054645232,0.0,0.0,1724.1188407448726
"Week 33, 2018",1114086.2137817158,141305.7737688148,0.0,0.0,1850.3167191247974
"Week 34, 2018",1279989.8056915188,162348.25247094664,0.0,0.0,2125.8557089050905
"Week 35, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 36, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 37, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 38, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 39, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 40, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 41, 2018",1307664.711293584,165858.41524084957,0.0,0.0,2171.8192437754133
"Week 42, 2018",1111613.2213284294,140992.11033073146,0.0,0.0,1846.2094792846663
"Week 43, 2018",1279989.8056915188,162348.25247094664,0.0,0.0,2125.8557089050905
"Week 44, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 45, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 46, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 47, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 48, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 49, 2018",1284441.1921093229,162912.84665973624,0.0,0.0,2133.248740620463
"Week 50, 2018",1307664.711293584,165858.41524084957,0.0,0.0,2171.8192437754133
"Week 51, 2018",1035628.7614473786,131354.57710836895,0.0,0.0,1720.0116009047415
"Week 52, 2018",1038101.753900665,131668.24054645232,0.0,0.0,1724.1188407448726
"Week 1, 2019",161381.2940295846,20468.890416708007,0.0,0.0,268.0281856135072
