Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 2, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 3, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 4, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 5, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 6, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 7, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 8, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 9, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 10, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 11, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 12, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 13, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 14, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 15, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 16, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 17, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 18, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 19, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 20, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 21, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 22, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 23, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 24, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 25, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 26, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 27, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 28, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 29, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 30, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 31, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 32, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 33, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 34, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 35, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 36, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 37, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 38, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 39, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 40, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 41, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 42, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 43, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 44, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 45, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 46, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 47, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 48, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 49, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 50, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 51, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 52, 2018",116773663.98957379,11013508.119176654,0.0,325214.654210963,266243.95389622817
"Week 1, 2019",16681951.998510541,1573358.302739522,0.0,46459.23631585186,38034.850556604026
