Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 2, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 3, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 4, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 5, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 6, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 7, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 8, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 9, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 10, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 11, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 12, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 13, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 14, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 15, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 16, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 17, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 18, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 19, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 20, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 21, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 22, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 23, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 24, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 25, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 26, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 27, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 28, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 29, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 30, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 31, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 32, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 33, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 34, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 35, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 36, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 37, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 38, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 39, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 40, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 41, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 42, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 43, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 44, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 45, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 46, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 47, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 48, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 49, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 50, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 51, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 52, 2018",150515.92745943036,18563.88191320884,0.0,0.0,171.58815730375056
"Week 1, 2019",22805.443554459143,2812.7093807892184,0.0,0.0,25.99820565208342
