Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 2, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 3, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 4, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 5, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 6, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 7, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 8, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 9, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 10, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 11, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 12, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 13, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 14, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 15, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 16, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 17, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 18, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 19, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 20, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 21, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 22, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 23, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 24, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 25, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 26, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 27, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 28, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 29, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 30, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 31, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 32, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 33, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 34, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 35, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 36, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 37, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 38, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 39, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 40, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 41, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 42, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 43, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 44, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 45, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 46, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 47, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 48, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 49, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 50, 2018",25969323.85750035,3599206.378837489,22049.028708832364,5317521.391177896,64598.69309553212
"Week 51, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 52, 2018",24075009.78299575,3336664.7994767525,20440.677808305012,4929638.531074925,59886.58683520193
"Week 1, 2019",3547533.6303996556,491668.775888721,3012.002595502279,726398.8107308735,8824.489905619144
