Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1535431.115994646,128448.72030667681,30557.48282129622,6556.439863532634,1004.887500681761
"Week 2, 2018",1772742.463466339,148301.34578720565,35280.35013076021,7569.782345929922,1160.1997151862652
"Week 3, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 4, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 5, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 6, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 7, 2018",1805862.4458948502,151072.0460258588,35939.48962816792,7711.207884862759,1181.8756184674426
"Week 8, 2018",1534484.4314245046,128369.52403385025,30538.642316380094,6552.39742855186,1004.2679277932652
"Week 9, 2018",1772742.463466339,148301.34578720565,35280.35013076021,7569.782345929922,1160.1997151862652
"Week 10, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 11, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 12, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 13, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 14, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 15, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 16, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 17, 2018",1805862.4458948502,151072.0460258588,35939.48962816792,7711.207884862759,1181.8756184674426
"Week 18, 2018",1534484.4314245046,128369.52403385025,30538.642316380094,6552.39742855186,1004.2679277932652
"Week 19, 2018",1772742.463466339,148301.34578720565,35280.35013076021,7569.782345929922,1160.1997151862652
"Week 20, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 21, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 22, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 23, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 24, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 25, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 26, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 27, 2018",1805862.4458948502,151072.0460258588,35939.48962816792,7711.207884862759,1181.8756184674426
"Week 28, 2018",1434383.6566605726,119995.44831909261,28546.4801976218,6124.957406530687,938.7553715339934
"Week 29, 2018",1435330.3412307138,120074.64459191919,28565.320702537934,6128.9998415114605,939.3749444224893
"Week 30, 2018",1922002.4533543403,160787.907049631,38250.85758589592,8207.136986941106,1257.8853076090656
"Week 31, 2018",1448202.7099398759,121151.50129410767,28821.50099066815,6183.966105034242,947.7994724167813
"Week 32, 2018",1435330.3412307138,120074.64459191919,28565.320702537934,6128.9998415114605,939.3749444224893
"Week 33, 2018",1535431.115994646,128448.72030667681,30557.48282129622,6556.439863532634,1004.887500681761
"Week 34, 2018",1772742.463466339,148301.34578720565,35280.35013076021,7569.782345929922,1160.1997151862652
"Week 35, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 36, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 37, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 38, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 39, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 40, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 41, 2018",1805862.4458948502,151072.0460258588,35939.48962816792,7711.207884862759,1181.8756184674426
"Week 42, 2018",1534484.4314245046,128369.52403385025,30538.642316380094,6552.39742855186,1004.2679277932652
"Week 43, 2018",1772742.463466339,148301.34578720565,35280.35013076021,7569.782345929922,1160.1997151862652
"Week 44, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 45, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 46, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 47, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 48, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 49, 2018",1776642.295606369,148627.59190960054,35357.962895268836,7586.435007607562,1162.7520228290177
"Week 50, 2018",1805862.4458948502,151072.0460258588,35939.48962816792,7711.207884862759,1181.8756184674426
"Week 51, 2018",1434383.6566605726,119995.44831909261,28546.4801976218,6124.957406530687,938.7553715339934
"Week 52, 2018",1435330.3412307138,120074.64459191919,28565.320702537934,6128.9998415114605,939.3749444224893
"Week 1, 2019",225231.67569339843,18842.08299152794,4482.4629311711715,961.7611116926205,147.40647972037928
