Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 2, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 3, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 4, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 5, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 6, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 7, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 8, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 9, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 10, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 11, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 12, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 13, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 14, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 15, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 16, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 17, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 18, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 19, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 20, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 21, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 22, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 23, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 24, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 25, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 26, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 27, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 28, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 29, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 30, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 31, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 32, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 33, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 34, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 35, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 36, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 37, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 38, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 39, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 40, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 41, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 42, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 43, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 44, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 45, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 46, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 47, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 48, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 49, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 50, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 51, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 52, 2018",253924.2720259106,10574.346206965414,164.79685254481598,5233.1253221819925,443.8596275012918
"Week 1, 2019",36274.89600370151,1510.6208867093449,23.542407506402284,747.5893317402845,63.408518214470256
