Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 2, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 3, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 4, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 5, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 6, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 7, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 8, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 9, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 10, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 11, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 12, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 13, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 14, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 15, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 16, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 17, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 18, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 19, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 20, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 21, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 22, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 23, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 24, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 25, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 26, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 27, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 28, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 29, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 30, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 31, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 32, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 33, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 34, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 35, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 36, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 37, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 38, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 39, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 40, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 41, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 42, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 43, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 44, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 45, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 46, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 47, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 48, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 49, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 50, 2018",25197.674660764416,4078.999574084544,0.0,3322.273087742332,285.8172236770508
"Week 51, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 52, 2018",23359.64799454762,3781.459817357368,0.0,3079.932212644312,264.9684872021536
"Week 1, 2019",3442.1226658620485,557.2108171497483,0.0,453.8383660976457,39.04399739887321
