Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",744833138.9365214,83949437.41227451,2720921.3382564713,0.0,1465692.0431451688
"Week 2, 2018",862853507.6903317,97251401.35847849,3152057.0153688556,0.0,1697934.0130157666
"Week 3, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 4, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 5, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 6, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 7, 2018",879368315.6698217,99112769.71922229,3212386.6262301044,0.0,1730432.0604095357
"Week 8, 2018",743129886.1594431,83757465.4054828,2714699.250941434,0.0,1462340.3608524168
"Week 9, 2018",862853507.6903317,97251401.35847849,3152057.0153688556,0.0,1697934.0130157666
"Week 10, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 11, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 12, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 13, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 14, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 15, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 16, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 17, 2018",879368315.6698217,99112769.71922229,3212386.6262301044,0.0,1730432.0604095357
"Week 18, 2018",743129886.1594431,83757465.4054828,2714699.250941434,0.0,1462340.3608524168
"Week 19, 2018",862853507.6903317,97251401.35847849,3152057.0153688556,0.0,1697934.0130157666
"Week 20, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 21, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 22, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 23, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 24, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 25, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 26, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 27, 2018",879368315.6698217,99112769.71922229,3212386.6262301044,0.0,1730432.0604095357
"Week 28, 2018",696639838.2230024,78517616.14863268,2544868.242042663,0.0,1370856.6582835843
"Week 29, 2018",698343091.0000806,78709588.15542439,2551090.3293577004,0.0,1374208.3405763363
"Week 30, 2018",923209765.7355598,104054098.0194266,3372542.14395357,0.0,1816703.8186895805
"Week 31, 2018",699115079.201466,78796598.21419774,2553910.4498118344,0.0,1375727.4686937935
"Week 32, 2018",698343091.0000806,78709588.15542439,2551090.3293577004,0.0,1374208.3405763363
"Week 33, 2018",744833138.9365214,83949437.41227451,2720921.3382564713,0.0,1465692.0431451688
"Week 34, 2018",862853507.6903317,97251401.35847849,3152057.0153688556,0.0,1697934.0130157666
"Week 35, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 36, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 37, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 38, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 39, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 40, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 41, 2018",879368315.6698217,99112769.71922229,3212386.6262301044,0.0,1730432.0604095357
"Week 42, 2018",743129886.1594431,83757465.4054828,2714699.250941434,0.0,1462340.3608524168
"Week 43, 2018",862853507.6903317,97251401.35847849,3152057.0153688556,0.0,1697934.0130157666
"Week 44, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 45, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 46, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 47, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 48, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 49, 2018",865392459.2185181,97537564.17974155,3161331.961700735,0.0,1702930.193849111
"Week 50, 2018",879368315.6698217,99112769.71922229,3212386.6262301044,0.0,1730432.0604095357
"Week 51, 2018",696639838.2230024,78517616.14863268,2544868.242042663,0.0,1370856.6582835843
"Week 52, 2018",698343091.0000806,78709588.15542439,2551090.3293577004,0.0,1374208.3405763363
"Week 1, 2019",110374362.42823352,12440189.817304002,403204.3450110627,0.0,217196.06220698814
