Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 2, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 3, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 4, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 5, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 6, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 7, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 8, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 9, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 10, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 11, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 12, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 13, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 14, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 15, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 16, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 17, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 18, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 19, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 20, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 21, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 22, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 23, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 24, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 25, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 26, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 27, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 28, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 29, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 30, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 31, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 32, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 33, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 34, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 35, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 36, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 37, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 38, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 39, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 40, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 41, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 42, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 43, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 44, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 45, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 46, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 47, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 48, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 49, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 50, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 51, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 52, 2018",117942.02917129097,3821.9900776106683,0.0,3394.1750316909256,215.12626120843473
"Week 1, 2019",17870.00441989257,579.0894056985861,0.0,514.2689441955948,32.59488806188405
