Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1179535.6456028714,66156.0399604358,16673.19076954112,21388.608148581163,1382.4908187043386
"Week 2, 2018",1362730.23944237,76430.78571802354,19262.71692962033,24710.489430573994,1597.2065375242905
"Week 3, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 4, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 5, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 6, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 7, 2018",1389164.8564458766,77913.41117774758,19636.380424964686,25189.830319298766,1628.1895904227345
"Week 8, 2018",1177928.7794718756,66065.916444144,16650.47709773045,21359.47072475576,1380.6074693699882
"Week 9, 2018",1362730.23944237,76430.78571802354,19262.71692962033,24710.489430573994,1597.2065375242905
"Week 10, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 11, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 12, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 13, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 14, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 15, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 16, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 17, 2018",1389164.8564458766,77913.41117774758,19636.380424964686,25189.830319298766,1628.1895904227345
"Week 18, 2018",1177928.7794718756,66065.916444144,16650.47709773045,21359.47072475576,1380.6074693699882
"Week 19, 2018",1362730.23944237,76430.78571802354,19262.71692962033,24710.489430573994,1597.2065375242905
"Week 20, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 21, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 22, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 23, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 24, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 25, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 26, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 27, 2018",1389164.8564458766,77913.41117774758,19636.380424964686,25189.830319298766,1628.1895904227345
"Week 28, 2018",1101910.18358905,61802.298565610094,15575.9249585798,19981.019835709445,1291.5088386922464
"Week 29, 2018",1103517.0497200459,61892.42208190189,15598.638630390475,20010.157259534844,1293.392188026597
"Week 30, 2018",1471074.565120723,82507.44102368,20794.205712995914,26675.105197545705,1724.1929800853202
"Week 31, 2018",1110850.462511005,62303.72762527705,15702.299245405598,20143.134582570685,1301.9874143693232
"Week 32, 2018",1103517.0497200459,61892.42208190189,15598.638630390475,20010.157259534844,1293.392188026597
"Week 33, 2018",1179535.6456028714,66156.0399604358,16673.19076954112,21388.608148581163,1382.4908187043386
"Week 34, 2018",1362730.23944237,76430.78571802354,19262.71692962033,24710.489430573994,1597.2065375242905
"Week 35, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 36, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 37, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 38, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 39, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 40, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 41, 2018",1389164.8564458766,77913.41117774758,19636.380424964686,25189.830319298766,1628.1895904227345
"Week 42, 2018",1177928.7794718756,66065.916444144,16650.47709773045,21359.47072475576,1380.6074693699882
"Week 43, 2018",1362730.23944237,76430.78571802354,19262.71692962033,24710.489430573994,1597.2065375242905
"Week 44, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 45, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 46, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 47, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 48, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 49, 2018",1366446.534583956,76639.21974950709,19315.24819315829,24777.877288536725,1601.5622718609266
"Week 50, 2018",1389164.8564458766,77913.41117774758,19636.380424964686,25189.830319298766,1628.1895904227345
"Week 51, 2018",1101910.18358905,61802.298565610094,15575.9249585798,19981.019835709445,1291.5088386922464
"Week 52, 2018",1103517.0497200459,61892.42208190189,15598.638630390475,20010.157259534844,1293.392188026597
"Week 1, 2019",173840.2990339405,9750.095991160504,2457.2995992380793,3152.2591541256215,203.75189018760284
