Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 2, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 3, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 4, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 5, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 6, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 7, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 8, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 9, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 10, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 11, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 12, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 13, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 14, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 15, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 16, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 17, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 18, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 19, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 20, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 21, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 22, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 23, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 24, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 25, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 26, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 27, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 28, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 29, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 30, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 31, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 32, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 33, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 34, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 35, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 36, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 37, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 38, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 39, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 40, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 41, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 42, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 43, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 44, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 45, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 46, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 47, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 48, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 49, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 50, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 51, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 52, 2018",104315119.9885368,4919240.270859424,36722.220513154796,3018367.1848919233,118919.23678693196
"Week 1, 2019",14902159.9983624,702748.6101227748,5246.031501879257,431195.31212741765,16988.462398133135
