Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 2, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 3, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 4, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 5, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 6, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 7, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 8, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 9, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 10, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 11, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 12, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 13, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 14, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 15, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 16, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 17, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 18, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 19, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 20, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 21, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 22, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 23, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 24, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 25, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 26, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 27, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 28, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 29, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 30, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 31, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 32, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 33, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 34, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 35, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 36, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 37, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 38, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 39, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 40, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 41, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 42, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 43, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 44, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 45, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 46, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 47, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 48, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 49, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 50, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 51, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 52, 2018",140884.1084611171,18398.055723937287,45.7168931956325,39.23622420642112,96.36473018740412
"Week 1, 2019",21346.0770395632,2787.5842005965583,6.926801999338258,5.944882455518351,14.600716695061228
