Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 2, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 3, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 4, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 5, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 6, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 7, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 8, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 9, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 10, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 11, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 12, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 13, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 14, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 15, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 16, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 17, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 18, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 19, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 20, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 21, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 22, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 23, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 24, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 25, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 26, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 27, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 28, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 29, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 30, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 31, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 32, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 33, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 34, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 35, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 36, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 37, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 38, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 39, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 40, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 41, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 42, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 43, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 44, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 45, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 46, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 47, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 48, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 49, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 50, 2018",1061.185185222,806.50074076872,360.69684445695776,309.5477185292574,42.2351703718356,256.27622223111297,256.27622223111297
"Week 51, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 52, 2018",983.777777812,747.67111113712,334.3860666782988,286.96797778776045,39.1543555569176,237.582333341598,237.582333341598
"Week 1, 2019",144.962962968,110.17185185568,49.272911112823195,42.285696297765604,5.7695259261264,35.008555556771995,35.008555556771995
