Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 2, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 3, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 4, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 5, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 6, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 7, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 8, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 9, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 10, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 11, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 12, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 13, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 14, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 15, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 16, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 17, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 18, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 19, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 20, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 21, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 22, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 23, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 24, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 25, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 26, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 27, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 28, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 29, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 30, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 31, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 32, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 33, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 34, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 35, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 36, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 37, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 38, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 39, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 40, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 41, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 42, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 43, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 44, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 45, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 46, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 47, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 48, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 49, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 50, 2018",2943727.703805828,894893.2219569718,0.0,120215.9519680224,46864.14504458879
"Week 51, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 52, 2018",2728999.555650488,829615.8649177484,0.0,111446.88385365465,43445.672925955776
"Week 1, 2019",402127.259273232,122246.68681906255,0.0,16422.07301420025,6401.865967629855
