Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",112231546.88481438,4495404.188329119,4428961.618957919,0.0,181366.9227387004
"Week 2, 2018",129515350.58893906,5187702.260648511,5111027.449465762,0.0,209297.6639433464
"Week 3, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 4, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 5, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 6, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 7, 2018",132361061.34315944,5301686.433533741,5223326.923712812,0.0,213896.35136077172
"Week 8, 2018",111768490.02225332,4476856.571218148,4410688.137672101,0.0,180618.61978336528
"Week 9, 2018",129515350.58893906,5187702.260648511,5111027.449465762,0.0,209297.6639433464
"Week 10, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 11, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 12, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 13, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 14, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 15, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 16, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 17, 2018",132361061.34315944,5301686.433533741,5223326.923712812,0.0,213896.35136077172
"Week 18, 2018",111768490.02225332,4476856.571218148,4410688.137672101,0.0,180618.61978336528
"Week 19, 2018",129515350.58893906,5187702.260648511,5111027.449465762,0.0,209297.6639433464
"Week 20, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 21, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 22, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 23, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 24, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 25, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 26, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 27, 2018",132361061.34315944,5301686.433533741,5223326.923712812,0.0,213896.35136077172
"Week 28, 2018",104513642.3523475,4186265.61434168,4124392.1471661837,0.0,168894.7379217059
"Week 29, 2018",104976699.21490856,4204813.231452652,4142665.6284520016,0.0,169643.04087704103
"Week 30, 2018",139657221.0911898,5593932.134501193,5511253.201009668,0.0,225686.99381416632
"Week 31, 2018",104513642.3523475,4186265.61434168,4124392.1471661837,0.0,168894.7379217059
"Week 32, 2018",104976699.21490856,4204813.231452652,4142665.6284520016,0.0,169643.04087704103
"Week 33, 2018",112231546.88481438,4495404.188329119,4428961.618957919,0.0,181366.9227387004
"Week 34, 2018",129515350.58893906,5187702.260648511,5111027.449465762,0.0,209297.6639433464
"Week 35, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 36, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 37, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 38, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 39, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 40, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 41, 2018",132361061.34315944,5301686.433533741,5223326.923712812,0.0,213896.35136077172
"Week 42, 2018",111768490.02225332,4476856.571218148,4410688.137672101,0.0,180618.61978336528
"Week 43, 2018",129515350.58893906,5187702.260648511,5111027.449465762,0.0,209297.6639433464
"Week 44, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 45, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 46, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 47, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 48, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 49, 2018",130071018.82401234,5209959.401181676,5132955.627008744,0.0,210195.62748974856
"Week 50, 2018",132361061.34315944,5301686.433533741,5223326.923712812,0.0,213896.35136077172
"Week 51, 2018",104513642.3523475,4186265.61434168,4124392.1471661837,0.0,168894.7379217059
"Week 52, 2018",104976699.21490856,4204813.231452652,4142665.6284520016,0.0,169643.04087704103
"Week 1, 2019",16400980.182271836,656936.8154549039,647227.2169172066,0.0,26504.09254904009
