Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",186.70064742096878,30.317204652029904,13.56021084818024,11.637962079507105,1.5879446431082709,19.22248675322812,9.632137326117913
"Week 2, 2018",215.45278914070153,34.98609346812409,15.648500896672845,13.430223325845356,1.8324901765728303,22.182774631010954,11.115498960317398
"Week 3, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 4, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 5, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 6, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 7, 2018",220.1867169438266,35.75480777092815,15.992329694468589,13.725312137913965,1.8727536432488945,22.670174464612657,11.359728658079588
"Week 8, 2018",185.93033801659425,30.19211870197881,13.504262686853822,11.589944936763164,1.581392932071863,19.143176571254894,9.59239602865039
"Week 9, 2018",215.45278914070153,34.98609346812409,15.648500896672845,13.430223325845356,1.8324901765728303,22.182774631010954,11.115498960317398
"Week 10, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 11, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 12, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 13, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 14, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 15, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 16, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 17, 2018",220.1867169438266,35.75480777092815,15.992329694468589,13.725312137913965,1.8727536432488945,22.670174464612657,11.359728658079588
"Week 18, 2018",185.93033801659425,30.19211870197881,13.504262686853822,11.589944936763164,1.581392932071863,19.143176571254894,9.59239602865039
"Week 19, 2018",215.45278914070153,34.98609346812409,15.648500896672845,13.430223325845356,1.8324901765728303,22.182774631010954,11.115498960317398
"Week 20, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 21, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 22, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 23, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
"Week 24, 2018",216.377160425951,35.1361966081854,15.715638690264546,13.487843897138083,1.84035222981652,22.27794684937883,11.163188517278424
