Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 2, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 3, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 4, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 5, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 6, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 7, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 8, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 9, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 10, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 11, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 12, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 13, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 14, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 15, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 16, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 17, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 18, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 19, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 20, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 21, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 22, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 23, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 24, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 25, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 26, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 27, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 28, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 29, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 30, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 31, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 32, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 33, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 34, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 35, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 36, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 37, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 38, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 39, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 40, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 41, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 42, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 43, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 44, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 45, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 46, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 47, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 48, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 49, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 50, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 51, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 52, 2018",25169.321960650555,1485.1745719234507,0.0,327.117287281278,63.1246594773116
"Week 1, 2019",3813.5336304015996,225.0264502914319,0.0,49.563225345648185,9.564342345047212
