Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 2, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 3, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 4, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 5, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 6, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 7, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 8, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 9, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 10, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 11, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 12, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 13, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 14, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 15, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 16, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 17, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 18, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 19, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 20, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 21, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 22, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 23, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 24, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 25, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 26, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 27, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 28, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 29, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 30, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 31, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 32, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 33, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 34, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 35, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 36, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 37, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 38, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 39, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 40, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 41, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 42, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 43, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 44, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 45, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 46, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 47, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 48, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 49, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 50, 2018",30897412.0,2803848.166055752,54290.739431852526,5771845.350472284,76857.31235
"Week 51, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 52, 2018",28643622.0,2599323.43245752,50330.53960592164,5350822.148514756,71251.009725
"Week 1, 2019",4220734.0,383019.04655668756,7416.374219470569,788461.6327568239,10499.075825
