Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1650068500.1395178,184888644.34207168,5906898.221093895,0.0,2766867.532390247
"Week 2, 2018",1909489364.1768446,213956511.44083437,6835570.358139818,0.0,3201869.573741144
"Week 3, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 4, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 5, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 6, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 7, 2018",1945748485.071386,218019312.29222947,6965370.385649151,0.0,3262669.5855877046
"Week 8, 2018",1646827950.7228513,184525543.78684,5895297.735669771,0.0,2761433.714965502
"Week 9, 2018",1909489364.1768446,213956511.44083437,6835570.358139818,0.0,3201869.573741144
"Week 10, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 11, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 12, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 13, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 14, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 15, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 16, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 17, 2018",1945748485.071386,218019312.29222947,6965370.385649151,0.0,3262669.5855877046
"Week 18, 2018",1646827950.7228513,184525543.78684,5895297.735669771,0.0,2761433.714965502
"Week 19, 2018",1909489364.1768446,213956511.44083437,6835570.358139818,0.0,3201869.573741144
"Week 20, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 21, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 22, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 23, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 24, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 25, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 26, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 27, 2018",1945748485.071386,218019312.29222947,6965370.385649151,0.0,3262669.5855877046
"Week 28, 2018",1542342127.3203676,172818004.22698724,5521260.461257541,0.0,2586229.8174649137
"Week 29, 2018",1545582676.7370343,173181104.78221893,5532860.946681666,0.0,2591663.6348896585
"Week 30, 2018",2052334539.9010787,229962180.83469626,7346926.046892121,0.0,3441395.192730019
"Week 31, 2018",1548910808.5703676,173554018.8659704,5544774.958738874,0.0,2597244.3122448027
"Week 32, 2018",1545582676.7370343,173181104.78221893,5532860.946681666,0.0,2591663.6348896585
"Week 33, 2018",1650068500.1395178,184888644.34207168,5906898.221093895,0.0,2766867.532390247
"Week 34, 2018",1909489364.1768446,213956511.44083437,6835570.358139818,0.0,3201869.573741144
"Week 35, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 36, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 37, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 38, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 39, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 40, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 41, 2018",1945748485.071386,218019312.29222947,6965370.385649151,0.0,3262669.5855877046
"Week 42, 2018",1646827950.7228513,184525543.78684,5895297.735669771,0.0,2761433.714965502
"Week 43, 2018",1909489364.1768446,213956511.44083437,6835570.358139818,0.0,3201869.573741144
"Week 44, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 45, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 46, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 47, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 48, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 49, 2018",1914691759.7268445,214539435.03490907,6854193.840145034,0.0,3210593.0536068156
"Week 50, 2018",1945748485.071386,218019312.29222947,6965370.385649151,0.0,3262669.5855877046
"Week 51, 2018",1542342127.3203676,172818004.22698724,5521260.461257541,0.0,2586229.8174649137
"Week 52, 2018",1545582676.7370343,173181104.78221893,5532860.946681666,0.0,2591663.6348896585
"Week 1, 2019",243170075.0711767,27246981.274212692,870497.7300880253,0.0,407752.39664683555
