Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 2, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 3, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 4, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 5, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 6, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 7, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 8, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 9, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 10, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 11, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 12, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 13, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 14, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 15, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 16, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 17, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 18, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 19, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 20, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 21, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 22, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 23, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 24, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 25, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 26, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 27, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 28, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 29, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 30, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 31, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 32, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 33, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 34, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 35, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 36, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 37, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 38, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 39, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 40, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 41, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 42, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 43, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 44, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 45, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 46, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 47, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 48, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 49, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 50, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 51, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 52, 2018",329700.42,4783.953094200001,0.0,6611.15282184,927.1175810399999
"Week 1, 2019",47100.06,683.4218706,0.0,944.4504031199999,132.44536872
