Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",235.81260447613786,39.356827034810976,17.6034326189033,15.108030860384789,2.061418843993554,24.954018528435547,12.504133137422432
"Week 2, 2018",271.48957472672583,45.31126848800553,20.26672173039096,17.393781313581858,2.3732986051901257,28.729405254049297,14.39593017237844
"Week 3, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 4, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 5, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 6, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 7, 2018",276.98203020540376,46.22795239788788,20.676734037180168,17.745671693044386,2.4213123712426015,29.310624549285933,14.687171578703282
"Week 8, 2018",235.47873768761883,39.30110508781157,17.578509432424614,15.086640698669692,2.0585002583192824,24.91868827946416,12.486429610577122
"Week 9, 2018",271.48957472672583,45.31126848800553,20.26672173039096,17.393781313581858,2.3732986051901257,28.729405254049297,14.39593017237844
"Week 10, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 11, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 12, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 13, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 14, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 15, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 16, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 17, 2018",276.98203020540376,46.22795239788788,20.676734037180168,17.745671693044386,2.4213123712426015,29.310624549285933,14.687171578703282
"Week 18, 2018",235.47873768761883,39.30110508781157,17.578509432424614,15.086640698669692,2.0585002583192824,24.91868827946416,12.486429610577122
"Week 19, 2018",271.48957472672583,45.31126848800553,20.26672173039096,17.393781313581858,2.3732986051901257,28.729405254049297,14.39593017237844
"Week 20, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 21, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 22, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 23, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 24, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 25, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 26, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 27, 2018",276.98203020540376,46.22795239788788,20.676734037180168,17.745671693044386,2.4213123712426015,29.310624549285933,14.687171578703282
"Week 28, 2018",219.6839654999743,36.66497747951711,16.399428235497908,14.074701976505976,1.9204260400368138,23.247263468655188,11.648900443091298
"Week 29, 2018",220.01783228849334,36.72069942651652,16.4243514219766,14.096092138221072,1.9233446257110853,23.282593717626572,11.666603969936606
"Week 30, 2018",296.3871358015294,49.46664011025841,22.125326955200663,18.988917086337,2.590947282974328,31.364099874185143,15.71614127461387
"Week 31, 2018",221.54153294418157,36.97500314913545,16.538095816104185,14.193712520215774,1.936664461820859,23.443833845050214,11.747399294268947
"Week 32, 2018",220.01783228849334,36.72069942651652,16.4243514219766,14.096092138221072,1.9233446257110853,23.282593717626572,11.666603969936606
"Week 33, 2018",235.81260447613786,39.356827034810976,17.6034326189033,15.108030860384789,2.061418843993554,24.954018528435547,12.504133137422432
"Week 34, 2018",271.48957472672583,45.31126848800553,20.26672173039096,17.393781313581858,2.3732986051901257,28.729405254049297,14.39593017237844
"Week 35, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 36, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 37, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 38, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 39, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 40, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
"Week 41, 2018",276.98203020540376,46.22795239788788,20.676734037180168,17.745671693044386,2.4213123712426015,29.310624549285933,14.687171578703282
"Week 42, 2018",235.47873768761883,39.30110508781157,17.578509432424614,15.086640698669692,2.0585002583192824,24.91868827946416,12.486429610577122
"Week 43, 2018",271.48957472672583,45.31126848800553,20.26672173039096,17.393781313581858,2.3732986051901257,28.729405254049297,14.39593017237844
"Week 44, 2018",272.2617283617901,45.44013995832848,20.32436307028664,17.443251616381932,2.3800485923560606,28.811115628093965,14.43687417482834
