Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",11498938521.323671,1343410861.4809825,0.0,0.0,28145891.564206097
"Week 2, 2018",13238655906.024021,1546660511.5403953,0.0,0.0,32404188.690618053
"Week 3, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 4, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 5, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 6, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 7, 2018",13506484710.259192,1577950714.889145,0.0,0.0,33059751.85132154
"Week 8, 2018",11482658163.095913,1341508841.565717,0.0,0.0,28106042.216681097
"Week 9, 2018",13238655906.024021,1546660511.5403953,0.0,0.0,32404188.690618053
"Week 10, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 11, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 12, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 13, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 14, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 15, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 16, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 17, 2018",13506484710.259192,1577950714.889145,0.0,0.0,33059751.85132154
"Week 18, 2018",11482658163.095913,1341508841.565717,0.0,0.0,28106042.216681097
"Week 19, 2018",13238655906.024021,1546660511.5403953,0.0,0.0,32404188.690618053
"Week 20, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 21, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 22, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 23, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 24, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 25, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 26, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 27, 2018",13506484710.259192,1577950714.889145,0.0,0.0,33059751.85132154
"Week 28, 2018",10712457118.298004,1251526931.7410173,0.0,0.0,26220825.15518273
"Week 29, 2018",10728737476.525763,1253428951.656283,0.0,0.0,26260674.502707735
"Week 30, 2018",14452736573.026867,1688500486.7469022,0.0,0.0,35375887.57745822
"Week 31, 2018",10803037746.452312,1262109386.7629836,0.0,0.0,26442538.884073533
"Week 32, 2018",10728737476.525763,1253428951.656283,0.0,0.0,26260674.502707735
"Week 33, 2018",11498938521.323671,1343410861.4809825,0.0,0.0,28145891.564206097
"Week 34, 2018",13238655906.024021,1546660511.5403953,0.0,0.0,32404188.690618053
"Week 35, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 36, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 37, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 38, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 39, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 40, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 41, 2018",13506484710.259192,1577950714.889145,0.0,0.0,33059751.85132154
"Week 42, 2018",11482658163.095913,1341508841.565717,0.0,0.0,28106042.216681097
"Week 43, 2018",13238655906.024021,1546660511.5403953,0.0,0.0,32404188.690618053
"Week 44, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 45, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 46, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 47, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 48, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 49, 2018",13276308461.528193,1551059426.443107,0.0,0.0,32496350.65342622
"Week 50, 2018",13506484710.259192,1577950714.889145,0.0,0.0,33059751.85132154
"Week 51, 2018",10712457118.298004,1251526931.7410173,0.0,0.0,26220825.15518273
"Week 52, 2018",10728737476.525763,1253428951.656283,0.0,0.0,26260674.502707735
"Week 1, 2019",1674038518.528482,195576445.9613631,0.0,0.0,4097535.309840329
