Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 2, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 3, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 4, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 5, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 6, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 7, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 8, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 9, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 10, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 11, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 12, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 13, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 14, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 15, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 16, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 17, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 18, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 19, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 20, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 21, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 22, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 23, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 24, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 25, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 26, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 27, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 28, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 29, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 30, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 31, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 32, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 33, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 34, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 35, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 36, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 37, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 38, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 39, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 40, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 41, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 42, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 43, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 44, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 45, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 46, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 47, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 48, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 49, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 50, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 51, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 52, 2018",1638696.93848659,47555.00703017401,505.4648493395579,45197.4642007437,1245.4096732498085
"Week 1, 2019",234099.56264094144,6793.5724328820015,72.2092641913654,6456.780600106244,177.91566760711552
