Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 2, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 3, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 4, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 5, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 6, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 7, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 8, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 9, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 10, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 11, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 12, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 13, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 14, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 15, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 16, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 17, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 18, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 19, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 20, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 21, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 22, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 23, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 24, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 25, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 26, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 27, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 28, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 29, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 30, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 31, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 32, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 33, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 34, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 35, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 36, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 37, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 38, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 39, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 40, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 41, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 42, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 43, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 44, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 45, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 46, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 47, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 48, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 49, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 50, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 51, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 52, 2018",1038278.1044784287,120523.32236785602,2021.5274694195004,1156.6418083889696,1183.6370391054086
"Week 1, 2019",157314.86431491343,18261.109449675154,306.2920408211364,175.24875884681356,179.3389453190013
