Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",664068140.0371042,23377959.51715965,26423708.560175586,0.0,446770.84684012976
"Week 2, 2018",764913530.5527968,26928136.546938993,30436413.052330364,0.0,514617.4695046384
"Week 3, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 4, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 5, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 6, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 7, 2018",780298315.77519,27469744.95189757,31048583.786729243,0.0,524968.0240755565
"Week 8, 2018",663132953.7885865,23345037.072999585,26386496.883556172,0.0,446141.673526409
"Week 9, 2018",764913530.5527968,26928136.546938993,30436413.052330364,0.0,514617.4695046384
"Week 10, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 11, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 12, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 13, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 14, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 15, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 16, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 17, 2018",780298315.77519,27469744.95189757,31048583.786729243,0.0,524968.0240755565
"Week 18, 2018",663132953.7885865,23345037.072999585,26386496.883556172,0.0,446141.673526409
"Week 19, 2018",764913530.5527968,26928136.546938993,30436413.052330364,0.0,514617.4695046384
"Week 20, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 21, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 22, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 23, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 24, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 25, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 26, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 27, 2018",780298315.77519,27469744.95189757,31048583.786729243,0.0,524968.0240755565
"Week 28, 2018",618890596.488308,21787522.150130622,24626064.354369637,0.0,416376.3614363807
"Week 29, 2018",619825782.7368257,21820444.59429069,24663276.03098905,0.0,417005.5347501014
"Week 30, 2018",833742005.9439067,29351185.04800287,33175143.409540817,0.0,560923.7961949733
"Week 31, 2018",624093784.0746583,21970695.98639852,24833102.61456679,0.0,419876.95480032655
"Week 32, 2018",619825782.7368257,21820444.59429069,24663276.03098905,0.0,417005.5347501014
"Week 33, 2018",664068140.0371042,23377959.51715965,26423708.560175586,0.0,446770.84684012976
"Week 34, 2018",764913530.5527968,26928136.546938993,30436413.052330364,0.0,514617.4695046384
"Week 35, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 36, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 37, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 38, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 39, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 40, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 41, 2018",780298315.77519,27469744.95189757,31048583.786729243,0.0,524968.0240755565
"Week 42, 2018",663132953.7885865,23345037.072999585,26386496.883556172,0.0,446141.673526409
"Week 43, 2018",764913530.5527968,26928136.546938993,30436413.052330364,0.0,514617.4695046384
"Week 44, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 45, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 46, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 47, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 48, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 49, 2018",767076391.5682881,27004278.24718465,30522474.716313086,0.0,516072.5961538925
"Week 50, 2018",780298315.77519,27469744.95189757,31048583.786729243,0.0,524968.0240755565
"Week 51, 2018",618890596.488308,21787522.150130622,24626064.354369637,0.0,416376.3614363807
"Week 52, 2018",619825782.7368257,21820444.59429069,24663276.03098905,0.0,417005.5347501014
"Week 1, 2019",96844710.14803116,3409336.447258608,3853514.786002642,0.0,65155.05044769241
