Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 2, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 3, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 4, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 5, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 6, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 7, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 8, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 9, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 10, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 11, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 12, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 13, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 14, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 15, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 16, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 17, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 18, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 19, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 20, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 21, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 22, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 23, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 24, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 25, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 26, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 27, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 28, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 29, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 30, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 31, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 32, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 33, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 34, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 35, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 36, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 37, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 38, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 39, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 40, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 41, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 42, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 43, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 44, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 45, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 46, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 47, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 48, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 49, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 50, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 51, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 52, 2018",73428263.99193096,532722.0552614591,0.0,2515321.897175591,94869.3170775748
"Week 1, 2019",10489751.99884728,76103.150751637,0.0,359331.699596513,13552.759582510686
