Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",185160503.75272357,5095510.785124671,5563789.336123929,4247534.659794031,7799.390916235943
"Week 2, 2018",213256296.19961536,5868690.866882013,6408024.835800077,4892044.9619042715,8982.851016816465
"Week 3, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 4, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 5, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 6, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 7, 2018",217909297.29595816,5996738.786330724,6547840.386936069,4998783.618519559,9178.846241221972
"Week 8, 2018",184508857.33274877,5077577.849678007,5544208.360003768,4232586.057372479,7771.942053948678
"Week 9, 2018",213256296.19961536,5868690.866882013,6408024.835800077,4892044.9619042715,8982.851016816465
"Week 10, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 11, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 12, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 13, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 14, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 15, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 16, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 17, 2018",217909297.29595816,5996738.786330724,6547840.386936069,4998783.618519559,9178.846241221972
"Week 18, 2018",184508857.33274877,5077577.849678007,5544208.360003768,4232586.057372479,7771.942053948678
"Week 19, 2018",213256296.19961536,5868690.866882013,6408024.835800077,4892044.9619042715,8982.851016816465
"Week 20, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 21, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 22, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 23, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 24, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 25, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 26, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 27, 2018",217909297.29595816,5996738.786330724,6547840.386936069,4998783.618519559,9178.846241221972
"Week 28, 2018",172241455.29135484,4739985.986724006,5175591.7313138675,3951174.9880548283,7255.2105582554195
"Week 29, 2018",172893101.71132964,4757918.922170671,5195172.707434029,3966123.59047638,7282.6594205426845
"Week 30, 2018",231758619.00894374,6377864.17065903,6963991.277096549,5316483.521027408,9762.21187144591
"Week 31, 2018",172548484.5862786,4748435.25669209,5184817.491032342,3958218.16165465,7268.143346000718
"Week 32, 2018",172893101.71132964,4757918.922170671,5195172.707434029,3966123.59047638,7282.6594205426845
"Week 33, 2018",185160503.75272357,5095510.785124671,5563789.336123929,4247534.659794031,7799.390916235943
"Week 34, 2018",213256296.19961536,5868690.866882013,6408024.835800077,4892044.9619042715,8982.851016816465
"Week 35, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 36, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 37, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 38, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 39, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 40, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 41, 2018",217909297.29595816,5996738.786330724,6547840.386936069,4998783.618519559,9178.846241221972
"Week 42, 2018",184508857.33274877,5077577.849678007,5544208.360003768,4232586.057372479,7771.942053948678
"Week 43, 2018",213256296.19961536,5868690.866882013,6408024.835800077,4892044.9619042715,8982.851016816465
"Week 44, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 45, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 46, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 47, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 48, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 49, 2018",214099677.76256987,5891900.243411628,6433367.159087965,4911391.919530097,9018.376209110244
"Week 50, 2018",217909297.29595816,5996738.786330724,6547840.386936069,4998783.618519559,9178.846241221972
"Week 51, 2018",172241455.29135484,4739985.986724006,5175591.7313138675,3951174.9880548283,7255.2105582554195
"Week 52, 2018",172893101.71132964,4757918.922170671,5195172.707434029,3966123.59047638,7282.6594205426845
"Week 1, 2019",26887778.406179093,739936.2287310289,807936.529315918,616798.7685841846,1132.575740553058
