Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",218.016969097537,35.06601805478193,15.684249329327422,13.460904211842882,1.836676325568282,22.23345052079448,11.140892114396248
"Week 2, 2018",251.09831954495777,40.38684806571034,18.064138155027397,15.503428201670094,2.115369004565313,25.60709878027807,12.831383262213112
"Week 3, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 4, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 5, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 6, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 7, 2018",256.57698900022626,41.26804150138587,18.4582763640168,15.841694736843898,2.1615238636377914,26.165815501998036,13.11134892536421
"Week 8, 2018",217.2496889566496,34.942608123046774,15.629050813886474,13.413530447668068,1.8302124008761813,22.155203010434974,11.101683307363798
"Week 9, 2018",251.09831954495777,40.38684806571034,18.064138155027397,15.503428201670094,2.115369004565313,25.60709878027807,12.831383262213112
"Week 10, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 11, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 12, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 13, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 14, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 15, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 16, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 17, 2018",256.57698900022626,41.26804150138587,18.4582763640168,15.841694736843898,2.1615238636377914,26.165815501998036,13.11134892536421
"Week 18, 2018",217.2496889566496,34.942608123046774,15.629050813886474,13.413530447668068,1.8302124008761813,22.155203010434974,11.101683307363798
"Week 19, 2018",251.09831954495777,40.38684806571034,18.064138155027397,15.503428201670094,2.115369004565313,25.60709878027807,12.831383262213112
"Week 20, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 21, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 22, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 23, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 24, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 25, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 26, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 27, 2018",256.57698900022626,41.26804150138587,18.4582763640168,15.841694736843898,2.1615238636377914,26.165815501998036,13.11134892536421
"Week 28, 2018",202.80545404931016,32.61938620071248,14.589925361423491,12.521707837226824,1.708527449447522,20.68217463355029,10.363567997148328
"Week 29, 2018",203.57273419019754,32.74279613244764,14.645123876864439,12.569081601401638,1.7149913741396228,20.760422143909796,10.402776804180778
"Week 30, 2018",272.88385295191506,43.8908501208882,19.631400277519543,16.848520648413352,2.2989004682585557,27.828795472410334,13.944646501979106
"Week 31, 2018",203.16696525146602,32.6775319422769,14.615932657339162,12.544028428526996,1.711572987917192,20.719041678620755,10.382041592658053
"Week 32, 2018",203.57273419019754,32.74279613244764,14.645123876864439,12.569081601401638,1.7149913741396228,20.760422143909796,10.402776804180778
"Week 33, 2018",218.016969097537,35.06601805478193,15.684249329327422,13.460904211842882,1.836676325568282,22.23345052079448,11.140892114396248
"Week 34, 2018",251.09831954495777,40.38684806571034,18.064138155027397,15.503428201670094,2.115369004565313,25.60709878027807,12.831383262213112
"Week 35, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 36, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 37, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 38, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 39, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 40, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 41, 2018",256.57698900022626,41.26804150138587,18.4582763640168,15.841694736843898,2.1615238636377914,26.165815501998036,13.11134892536421
"Week 42, 2018",217.2496889566496,34.942608123046774,15.629050813886474,13.413530447668068,1.8302124008761813,22.155203010434974,11.101683307363798
"Week 43, 2018",251.09831954495777,40.38684806571034,18.064138155027397,15.503428201670094,2.115369004565313,25.60709878027807,12.831383262213112
"Week 44, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 45, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 46, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 47, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 48, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 49, 2018",252.0913579544538,40.546569132105404,18.135577832739667,15.564740836939903,2.123734821889768,25.708369201723567,12.882128549753999
"Week 50, 2018",256.57698900022626,41.26804150138587,18.4582763640168,15.841694736843898,2.1615238636377914,26.165815501998036,13.11134892536421
"Week 51, 2018",202.80545404931016,32.61938620071248,14.589925361423491,12.521707837226824,1.708527449447522,20.68217463355029,10.363567997148328
"Week 52, 2018",203.57273419019754,32.74279613244764,14.645123876864439,12.569081601401638,1.7149913741396228,20.760422143909796,10.402776804180778
"Week 1, 2019",31.658976050907096,5.092054212075361,2.27756250327233,1.9547030941230654,0.2667099356767051,3.2285939965157167,1.6178063482646372
