Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 2, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 3, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 4, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 5, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 6, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 7, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 8, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 9, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 10, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 11, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 12, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 13, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 14, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 15, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 16, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 17, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 18, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 19, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 20, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 21, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 22, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 23, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 24, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 25, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 26, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 27, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 28, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 29, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 30, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 31, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 32, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 33, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 34, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 35, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 36, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 37, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 38, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 39, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 40, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 41, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 42, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 43, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 44, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 45, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 46, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 47, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 48, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 49, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 50, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 51, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 52, 2018",61630370.67049464,1162533.6819575406,0.0,1888046.4054906033,70258.62256436388
"Week 1, 2019",8804338.66721352,166076.24027964866,0.0,269720.9150700862,10036.946080623413
