Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 2, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 3, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 4, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 5, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 6, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 7, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 8, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 9, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 10, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 11, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 12, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 13, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 14, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 15, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 16, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 17, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 18, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 19, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 20, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 21, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 22, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 23, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 24, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 25, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 26, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 27, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 28, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 29, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 30, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 31, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 32, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 33, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 34, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 35, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 36, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 37, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 38, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 39, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 40, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 41, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 42, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 43, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 44, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 45, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 46, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 47, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 48, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 49, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 50, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 51, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 52, 2018",28970681.42464452,3152734.40603694,0.0,242050.04330290496,11008.858941364919
"Week 1, 2019",4389497.1855522,477687.0312177182,0.0,36674.24898528863,1668.0089305098363
