Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 2, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 3, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 4, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 5, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 6, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 7, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 8, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 9, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 10, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 11, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 12, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 13, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 14, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 15, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 16, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 17, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 18, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 19, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 20, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 21, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 22, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 23, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 24, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 25, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 26, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 27, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 28, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 29, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 30, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 31, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 32, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 33, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 34, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 35, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 36, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 37, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 38, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 39, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 40, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 41, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 42, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 43, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 44, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 45, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 46, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 47, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 48, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 49, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 50, 2018",85171.28152050213,42074.61307112806,0.0,0.0,677.963400903197
"Week 51, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 52, 2018",78958.52225830592,39005.509995603126,0.0,0.0,628.5098371761152
"Week 1, 2019",11634.803709026344,5747.593032259015,0.0,0.0,92.6130375238497
