Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",6293566.695165313,892434.9984376025,0.0,0.0,2017.3582456830393
"Week 2, 2018",7268377.53980185,1030664.2977756807,0.0,0.0,2329.8269602705004
"Week 3, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 4, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 5, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 6, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 7, 2018",7413083.60496161,1051183.7843068982,0.0,0.0,2376.2114649385207
"Week 8, 2018",6282643.283139974,890886.0460444777,0.0,0.0,2013.8568232960738
"Week 9, 2018",7268377.53980185,1030664.2977756807,0.0,0.0,2329.8269602705004
"Week 10, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 11, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 12, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 13, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 14, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 15, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 16, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 17, 2018",7413083.60496161,1051183.7843068982,0.0,0.0,2376.2114649385207
"Week 18, 2018",6282643.283139974,890886.0460444777,0.0,0.0,2013.8568232960738
"Week 19, 2018",7268377.53980185,1030664.2977756807,0.0,0.0,2329.8269602705004
"Week 20, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 21, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 22, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 23, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 24, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 25, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 26, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 27, 2018",7413083.60496161,1051183.7843068982,0.0,0.0,2376.2114649385207
"Week 28, 2018",5876196.045526812,833251.3601130621,0.0,0.0,1883.5730389256169
"Week 29, 2018",5887119.457552151,834800.3125061869,0.0,0.0,1887.0744613125826
"Week 30, 2018",7846997.539571546,1112713.2794742645,0.0,0.0,2515.2995045670787
"Week 31, 2018",5919915.038021909,839450.7635497537,0.0,0.0,1897.5868524394534
"Week 32, 2018",5887119.457552151,834800.3125061869,0.0,0.0,1887.0744613125826
"Week 33, 2018",6293566.695165313,892434.9984376025,0.0,0.0,2017.3582456830393
"Week 34, 2018",7268377.53980185,1030664.2977756807,0.0,0.0,2329.8269602705004
"Week 35, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 36, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 37, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 38, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 39, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 40, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 41, 2018",7413083.60496161,1051183.7843068982,0.0,0.0,2376.2114649385207
"Week 42, 2018",6282643.283139974,890886.0460444777,0.0,0.0,2013.8568232960738
"Week 43, 2018",7268377.53980185,1030664.2977756807,0.0,0.0,2329.8269602705004
"Week 44, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 45, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 46, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 47, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 48, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 49, 2018",7290229.432731277,1033762.9213347688,0.0,0.0,2336.8314298376263
"Week 50, 2018",7413083.60496161,1051183.7843068982,0.0,0.0,2376.2114649385207
"Week 51, 2018",5876196.045526812,833251.3601130621,0.0,0.0,1883.5730389256169
"Week 52, 2018",5887119.457552151,834800.3125061869,0.0,0.0,1887.0744613125826
"Week 1, 2019",927521.9450516662,131523.67896870017,0.0,0.0,297.3105926309406
