Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 2, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 3, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 4, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 5, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 6, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 7, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 8, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 9, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 10, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 11, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 12, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 13, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 14, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 15, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 16, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 17, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 18, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 19, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 20, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 21, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 22, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 23, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 24, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 25, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 26, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 27, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 28, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 29, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 30, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 31, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 32, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 33, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 34, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 35, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 36, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 37, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 38, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 39, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 40, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 41, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 42, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 43, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 44, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 45, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 46, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 47, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 48, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 49, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 50, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 51, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 52, 2018",1238759.744234808,107846.42333308239,0.0,0.0,1788.7690706750632
"Week 1, 2019",187690.8703386073,16340.36717167915,0.0,0.0,271.0256167689489
