Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 2, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 3, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 4, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 5, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 6, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 7, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 8, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 9, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 10, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 11, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 12, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 13, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 14, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 15, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 16, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 17, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 18, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 19, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 20, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 21, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 22, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 23, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 24, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 25, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 26, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 27, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 28, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 29, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 30, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 31, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 32, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 33, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 34, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 35, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 36, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 37, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 38, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 39, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 40, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 41, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 42, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 43, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 44, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 45, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 46, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 47, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 48, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 49, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 50, 2018",13457.39199942809,1609.9028267331337,0.0,0.0,312.43578407485404
"Week 51, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 52, 2018",12475.75199946689,1492.4695966660443,0.0,0.0,289.64537542211133
"Week 1, 2019",1838.3439999216241,219.92041267041142,0.0,0.0,42.68021984045834
