Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",779040.4330475251,36885.250940933074,17710.58764593223,12868.417827642095,275.69559265172995
"Week 2, 2018",894932.9329033478,42372.41663608421,20345.270249213136,14782.764051496815,316.70893429133184
"Week 3, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 4, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 5, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 6, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 7, 2018",915060.1948146403,43325.38271442718,20802.840384254938,15115.23205317382,323.83179616819655
"Week 8, 2018",776221.6376299402,36751.789349059014,17646.505576271484,12821.856140128357,274.69804561790653
"Week 9, 2018",894932.9329033478,42372.41663608421,20345.270249213136,14782.764051496815,316.70893429133184
"Week 10, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 11, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 12, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 13, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 14, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 15, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 16, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 17, 2018",915060.1948146403,43325.38271442718,20802.840384254938,15115.23205317382,323.83179616819655
"Week 18, 2018",776221.6376299402,36751.789349059014,17646.505576271484,12821.856140128357,274.69804561790653
"Week 19, 2018",894932.9329033478,42372.41663608421,20345.270249213136,14782.764051496815,316.70893429133184
"Week 20, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 21, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 22, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 23, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 24, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 25, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 26, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 27, 2018",915060.1948146403,43325.38271442718,20802.840384254938,15115.23205317382,323.83179616819655
"Week 28, 2018",723157.1296391019,34239.34248459722,16440.14505916251,11945.321069961206,255.9189805543938
"Week 29, 2018",725975.9250566869,34372.80407647127,16504.22712882326,11991.882757474945,256.91652758821726
"Week 30, 2018",980607.6476075466,46428.85994390472,22292.98628478942,16197.96405820867,347.0284661713942
"Week 31, 2018",724485.2314180221,34302.224159684265,16470.337924590905,11967.259043760489,256.38898415306306
"Week 32, 2018",725975.9250566869,34372.80407647127,16504.22712882326,11991.882757474945,256.91652758821726
"Week 33, 2018",779040.4330475251,36885.250940933074,17710.58764593223,12868.417827642095,275.69559265172995
"Week 34, 2018",894932.9329033478,42372.41663608421,20345.270249213136,14782.764051496815,316.70893429133184
"Week 35, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 36, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 37, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 38, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 39, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 40, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 41, 2018",915060.1948146403,43325.38271442718,20802.840384254938,15115.23205317382,323.83179616819655
"Week 42, 2018",776221.6376299402,36751.789349059014,17646.505576271484,12821.856140128357,274.69804561790653
"Week 43, 2018",894932.9329033478,42372.41663608421,20345.270249213136,14782.764051496815,316.70893429133184
"Week 44, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 45, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 46, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 47, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 48, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 49, 2018",898581.1077602338,42545.14688135048,20428.207305891716,14843.025671273159,317.99999145165384
"Week 50, 2018",915060.1948146403,43325.38271442718,20802.840384254938,15115.23205317382,323.83179616819655
"Week 51, 2018",723157.1296391019,34239.34248459722,16440.14505916251,11945.321069961206,255.9189805543938
"Week 52, 2018",725975.9250566869,34372.80407647127,16504.22712882326,11991.882757474945,256.91652758821726
"Week 1, 2019",111927.28183210969,5299.42439747803,2544.537935090216,1848.8475922789166,39.61008567666758
