Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 2, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 3, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 4, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 5, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 6, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 7, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 8, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 9, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 10, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 11, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 12, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 13, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 14, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 15, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 16, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 17, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 18, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 19, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 20, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 21, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 22, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 23, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 24, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 25, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 26, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 27, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 28, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 29, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 30, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 31, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 32, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 33, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 34, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 35, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 36, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 37, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 38, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 39, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 40, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 41, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 42, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 43, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 44, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 45, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 46, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 47, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 48, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 49, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 50, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 51, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 52, 2018",142409.22267551196,573.9882882090392,0.0,0.0,551.1764356301788
"Week 1, 2019",20344.174667930278,81.99832688700559,0.0,0.0,78.73949080431127
