Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 2, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 3, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 4, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 5, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 6, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 7, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 8, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 9, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 10, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 11, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 12, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 13, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 14, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 15, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 16, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 17, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 18, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 19, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 20, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 21, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 22, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 23, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 24, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 25, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 26, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 27, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 28, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 29, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 30, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 31, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 32, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 33, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 34, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 35, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 36, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 37, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 38, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 39, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 40, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 41, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 42, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 43, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 44, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 45, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 46, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 47, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 48, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 49, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 50, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 51, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 52, 2018",100548969.16396266,1125999.9303956942,274.07638014712944,3634818.451495315,70756.68231559942
"Week 1, 2019",15234692.2975701,170606.05005995368,41.52672426471658,550730.068408381,10720.709441757488
