Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 2, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 3, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 4, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 5, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 6, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 7, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 8, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 9, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 10, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 11, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 12, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 13, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 14, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 15, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 16, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 17, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 18, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 19, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 20, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 21, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 22, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 23, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 24, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 25, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 26, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 27, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 28, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 29, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 30, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 31, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 32, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 33, 2018",1346.2222219080002,1023.1288886500801,457.5809332265292,392.69302213056363,53.579644431938405,325.112666590782,325.112666590782
"Week 34, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 35, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 36, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
"Week 37, 2018",1452.148147808,1103.63259233408,493.58515543993923,423.59161471559366,57.79549628275841,350.69377769563204,350.69377769563204
