Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",9490147.46583971,1265066.0619438489,0.0,0.0,3487.432273136177
"Week 2, 2018",10960723.477991553,1461098.4008699346,0.0,0.0,4027.838443149728
"Week 3, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 4, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 5, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 6, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 7, 2018",11174141.030359158,1489547.6218641512,0.0,0.0,4106.264965230611
"Week 8, 2018",9477174.573642556,1263336.7352181105,0.0,0.0,3482.665004441236
"Week 9, 2018",10960723.477991553,1461098.4008699346,0.0,0.0,4027.838443149728
"Week 10, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 11, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 12, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 13, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 14, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 15, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 16, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 17, 2018",11174141.030359158,1489547.6218641512,0.0,0.0,4106.264965230611
"Week 18, 2018",9477174.573642556,1263336.7352181105,0.0,0.0,3482.665004441236
"Week 19, 2018",10960723.477991553,1461098.4008699346,0.0,0.0,4027.838443149728
"Week 20, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 21, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 22, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 23, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 24, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 25, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 26, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 27, 2018",11174141.030359158,1489547.6218641512,0.0,0.0,4106.264965230611
"Week 28, 2018",8863445.134491524,1181524.6993692971,0.0,0.0,3257.132170439094
"Week 29, 2018",8876418.026688678,1183254.0260950357,0.0,0.0,3261.899439134035
"Week 30, 2018",11843861.257688535,1578823.4032617954,0.0,0.0,4352.373252079439
"Week 31, 2018",8935623.689026821,1191146.3243304947,0.0,0.0,3283.65629152581
"Week 32, 2018",8876418.026688678,1183254.0260950357,0.0,0.0,3261.899439134035
"Week 33, 2018",9490147.46583971,1265066.0619438489,0.0,0.0,3487.432273136177
"Week 34, 2018",10960723.477991553,1461098.4008699346,0.0,0.0,4027.838443149728
"Week 35, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 36, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 37, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 38, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 39, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 40, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 41, 2018",11174141.030359158,1489547.6218641512,0.0,0.0,4106.264965230611
"Week 42, 2018",9477174.573642556,1263336.7352181105,0.0,0.0,3482.665004441236
"Week 43, 2018",10960723.477991553,1461098.4008699346,0.0,0.0,4027.838443149728
"Week 44, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 45, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 46, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 47, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 48, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 49, 2018",10990726.6595352,1465097.91793306,0.0,0.0,4038.8639898009997
"Week 50, 2018",11174141.030359158,1489547.6218641512,0.0,0.0,4106.264965230611
"Week 51, 2018",8863445.134491524,1181524.6993692971,0.0,0.0,3257.132170439094
"Week 52, 2018",8876418.026688678,1183254.0260950357,0.0,0.0,3261.899439134035
"Week 1, 2019",1397162.6905258219,186246.11568583053,0.0,0.0,513.428297642411
