Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 2, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 3, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 4, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 5, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 6, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 7, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 8, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 9, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 10, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 11, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 12, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 13, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 14, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 15, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 16, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 17, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 18, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 19, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 20, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 21, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 22, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 23, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 24, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 25, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 26, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 27, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 28, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 29, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 30, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 31, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 32, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 33, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 34, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 35, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 36, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 37, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 38, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 39, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 40, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 41, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 42, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 43, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 44, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 45, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 46, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 47, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 48, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 49, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 50, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 51, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 52, 2018",1047171.9438849261,45583.39471731084,0.0,20414.617046036634,795.8506773525439
"Week 1, 2019",149595.99198356087,6511.913531044404,0.0,2916.3738637195192,113.69295390750626
