Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 2, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 3, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 4, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 5, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 6, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 7, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 8, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 9, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 10, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 11, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 12, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 13, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 14, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 15, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 16, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 17, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 18, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 19, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 20, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 21, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 22, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 23, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 24, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 25, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 26, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 27, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 28, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 29, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 30, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 31, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 32, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 33, 2018",1035.5555555380001,787.0222222088801,351.9853333273662,302.07155555043465,41.2151111104124,250.086666662427,250.086666662427
"Week 34, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 35, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 36, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
"Week 37, 2018",1117.037037018,848.94814813368,379.6808888824182,325.83970369815063,44.4580740733164,269.764444439847,269.764444439847
