Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 2, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 3, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 4, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 5, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 6, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 7, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 8, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 9, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 10, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 11, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 12, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 13, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 14, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 15, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 16, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 17, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 18, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 19, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 20, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 21, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 22, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 23, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 24, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 25, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 26, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 27, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 28, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 29, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 30, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 31, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 32, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 33, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 34, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 35, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 36, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 37, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 38, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 39, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 40, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 41, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 42, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 43, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 44, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 45, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 46, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 47, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 48, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 49, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 50, 2018",31315016.295762613,758941.9366771242,2350.9345459784054,7016002.397530637,178872.53349690294
"Week 51, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 52, 2018",29030764.443952296,703581.4505800497,2179.4472780358788,6504225.034316121,165824.8022736689
"Week 1, 2019",4277780.74066806,103675.09214555423,321.1488836018413,958419.4256574181,24434.84210899465
