Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1149676.0477578181,105724.33983716511,0.0,0.0,3006.122834873613
"Week 2, 2018",1328649.476597002,122182.756666253,0.0,0.0,3474.0947581979062
"Week 3, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 4, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 5, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 6, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 7, 2018",1357769.1410198545,124860.60431158762,0.0,0.0,3550.235587900426
"Week 8, 2018",1144788.7337493654,105274.90188624988,0.0,0.0,2993.3436991591125
"Week 9, 2018",1328649.476597002,122182.756666253,0.0,0.0,3474.0947581979062
"Week 10, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 11, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 12, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 13, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 14, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 15, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 16, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 17, 2018",1357769.1410198545,124860.60431158762,0.0,0.0,3550.235587900426
"Week 18, 2018",1144788.7337493654,105274.90188624988,0.0,0.0,2993.3436991591125
"Week 19, 2018",1328649.476597002,122182.756666253,0.0,0.0,3474.0947581979062
"Week 20, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 21, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 22, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 23, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 24, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 25, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 26, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 27, 2018",1357769.1410198545,124860.60431158762,0.0,0.0,3550.235587900426
"Week 28, 2018",1071801.9352309103,98563.02761067364,0.0,0.0,2802.5009986448663
"Week 29, 2018",1076689.2492393632,99012.46556158889,0.0,0.0,2815.280134359367
"Week 30, 2018",1424666.006782252,131012.44767972468,0.0,0.0,3725.154597600609
"Week 31, 2018",1071801.9352309103,98563.02761067364,0.0,0.0,2802.5009986448663
"Week 32, 2018",1076689.2492393632,99012.46556158889,0.0,0.0,2815.280134359367
"Week 33, 2018",1149676.0477578181,105724.33983716511,0.0,0.0,3006.122834873613
"Week 34, 2018",1328649.476597002,122182.756666253,0.0,0.0,3474.0947581979062
"Week 35, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 36, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 37, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 38, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 39, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 40, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 41, 2018",1357769.1410198545,124860.60431158762,0.0,0.0,3550.235587900426
"Week 42, 2018",1144788.7337493654,105274.90188624988,0.0,0.0,2993.3436991591125
"Week 43, 2018",1328649.476597002,122182.756666253,0.0,0.0,3474.0947581979062
"Week 44, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 45, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 46, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 47, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 48, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 49, 2018",1334514.2534071454,122722.0822073513,0.0,0.0,3489.429721055307
"Week 50, 2018",1357769.1410198545,124860.60431158762,0.0,0.0,3550.235587900426
"Week 51, 2018",1071801.9352309103,98563.02761067364,0.0,0.0,2802.5009986448663
"Week 52, 2018",1076689.2492393632,99012.46556158889,0.0,0.0,2815.280134359367
"Week 1, 2019",169515.79014888874,15588.691301710045,0.0,0.0,443.2425017743461
