Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1242.6666667000002,944.426666692,422.38240001133,362.48586667639006,49.458133334660005,300.10400000805,300.10400000805
"Week 2, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 3, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 4, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 5, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 6, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 7, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 8, 2018",1242.6666667000002,944.426666692,422.38240001133,362.48586667639006,49.458133334660005,300.10400000805,300.10400000805
"Week 9, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 10, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 11, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 12, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 13, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 14, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
"Week 15, 2018",1340.4444444800001,1018.7377778048001,455.617066678752,391.00764445481605,53.34968889030401,323.71733334192004,323.71733334192004
