Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",234.01899552515778,34.49239416359761,15.427680048191451,13.240705371557135,1.8066313258341284,21.869746766343148,10.958644798718025
"Week 2, 2018",270.4024691107762,39.855006327365665,17.826257087893357,15.299268408544517,2.0875124695845746,25.269886793488382,12.662410609153996
"Week 3, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 4, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 5, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 6, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 7, 2018",275.9679012715115,40.675303326538994,18.19315767437378,15.614158434203835,2.1304777171740943,25.789992401699397,12.92302874429296
"Week 8, 2018",233.30431788486104,34.38705680491992,15.380564992649266,13.200269183676005,1.8011140001574848,21.80295808973259,10.925177864172722
"Week 9, 2018",270.4024691107762,39.855006327365665,17.826257087893357,15.299268408544517,2.0875124695845746,25.269886793488382,12.662410609153996
"Week 10, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 11, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 12, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 13, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 14, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 15, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 16, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 17, 2018",275.9679012715115,40.675303326538994,18.19315767437378,15.614158434203835,2.1304777171740943,25.789992401699397,12.92302874429296
"Week 18, 2018",233.30431788486104,34.38705680491992,15.380564992649266,13.200269183676005,1.8011140001574848,21.80295808973259,10.925177864172722
"Week 19, 2018",270.4024691107762,39.855006327365665,17.826257087893357,15.299268408544517,2.0875124695845746,25.269886793488382,12.662410609153996
"Week 20, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 21, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 22, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 23, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 24, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 25, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 26, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 27, 2018",275.9679012715115,40.675303326538994,18.19315767437378,15.614158434203835,2.1304777171740943,25.789992401699397,12.92302874429296
"Week 28, 2018",218.3180352544044,32.17820719261904,14.392595733933263,12.352351037204734,1.6854195985247071,20.40244696728527,10.223400011345744
"Week 29, 2018",219.03271289470115,32.28354455129673,14.43971078947545,12.392787225085865,1.6909369242013508,20.46923564389583,10.256866945891046
"Week 30, 2018",291.1342218712694,42.91068899240945,19.19299591911236,16.472263060203666,2.247562015530637,27.20732858908689,13.633237417666908
"Week 31, 2018",218.83243854706132,32.254025829006046,14.426507722133357,12.381455779001202,1.6893908022320843,20.45051943132151,10.247488495935926
"Week 32, 2018",219.03271289470115,32.28354455129673,14.43971078947545,12.392787225085865,1.6909369242013508,20.46923564389583,10.256866945891046
"Week 33, 2018",234.01899552515778,34.49239416359761,15.427680048191451,13.240705371557135,1.8066313258341284,21.869746766343148,10.958644798718025
"Week 34, 2018",270.4024691107762,39.855006327365665,17.826257087893357,15.299268408544517,2.0875124695845746,25.269886793488382,12.662410609153996
"Week 35, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 36, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 37, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 38, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 39, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 40, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 41, 2018",275.9679012715115,40.675303326538994,18.19315767437378,15.614158434203835,2.1304777171740943,25.789992401699397,12.92302874429296
"Week 42, 2018",233.30431788486104,34.38705680491992,15.380564992649266,13.200269183676005,1.8011140001574848,21.80295808973259,10.925177864172722
"Week 43, 2018",270.4024691107762,39.855006327365665,17.826257087893357,15.299268408544517,2.0875124695845746,25.269886793488382,12.662410609153996
"Week 44, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 45, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 46, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 47, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 48, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 49, 2018",271.36296293766367,39.99657488505628,17.889577552184,15.353612782361168,2.0949275011380224,25.3596476982283,12.707388627526397
"Week 50, 2018",275.9679012715115,40.675303326538994,18.19315767437378,15.614158434203835,2.1304777171740943,25.789992401699397,12.92302874429296
"Week 51, 2018",218.3180352544044,32.17820719261904,14.392595733933263,12.352351037204734,1.6854195985247071,20.40244696728527,10.223400011345744
"Week 52, 2018",219.03271289470115,32.28354455129673,14.43971078947545,12.392787225085865,1.6909369242013508,20.46923564389583,10.256866945891046
"Week 1, 2019",34.40191567422192,5.070547511561067,2.267943022641091,1.9464472473156882,0.26558347704330665,3.2149577532540228,1.6109733888192834
