Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",430774444.3358581,57460677.13924549,1419938.2159634617,0.0,66511.74651523423
"Week 2, 2018",497747941.8576362,66394221.29114635,1640699.2890455096,0.0,76852.48132199579
"Week 3, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 4, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 5, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 6, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 7, 2018",507992605.7198564,67760749.2510273,1674468.2136392,0.0,78434.26152018813
"Week 8, 2018",429458889.31996197,57285196.25122794,1415601.8239912007,0.0,66308.62429455786
"Week 9, 2018",497747941.8576362,66394221.29114635,1640699.2890455096,0.0,76852.48132199579
"Week 10, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 11, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 12, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 13, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 14, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 15, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 16, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 17, 2018",507992605.7198564,67760749.2510273,1674468.2136392,0.0,78434.26152018813
"Week 18, 2018",429458889.31996197,57285196.25122794,1415601.8239912007,0.0,66308.62429455786
"Week 19, 2018",497747941.8576362,66394221.29114635,1640699.2890455096,0.0,76852.48132199579
"Week 20, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 21, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 22, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 23, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 24, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 25, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 26, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 27, 2018",507992605.7198564,67760749.2510273,1674468.2136392,0.0,78434.26152018813
"Week 28, 2018",401872634.80114424,53605486.63699888,1324670.7635682565,0.0,62049.2955623506
"Week 29, 2018",403188189.8170403,53780967.52501643,1329007.155540518,0.0,62252.41778302696
"Week 30, 2018",535910268.19131094,71484665.12126395,1766491.6759518352,0.0,82744.75977284569
"Week 31, 2018",402819531.4069584,53731792.45867968,1327791.9670074128,0.0,62195.496777046945
"Week 32, 2018",403188189.8170403,53780967.52501643,1329007.155540518,0.0,62252.41778302696
"Week 33, 2018",430774444.3358581,57460677.13924549,1419938.2159634617,0.0,66511.74651523423
"Week 34, 2018",497747941.8576362,66394221.29114635,1640699.2890455096,0.0,76852.48132199579
"Week 35, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 36, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 37, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 38, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 39, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 40, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 41, 2018",507992605.7198564,67760749.2510273,1674468.2136392,0.0,78434.26152018813
"Week 42, 2018",429458889.31996197,57285196.25122794,1415601.8239912007,0.0,66308.62429455786
"Week 43, 2018",497747941.8576362,66394221.29114635,1640699.2890455096,0.0,76852.48132199579
"Week 44, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 45, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 46, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 47, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 48, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 49, 2018",499515987.1978743,66630059.52110356,1646527.2001000545,0.0,77125.4682297467
"Week 50, 2018",507992605.7198564,67760749.2510273,1674468.2136392,0.0,78434.26152018813
"Week 51, 2018",401872634.80114424,53605486.63699888,1324670.7635682565,0.0,62049.2955623506
"Week 52, 2018",403188189.8170403,53780967.52501643,1329007.155540518,0.0,62252.41778302696
"Week 1, 2019",63325911.10989046,8446995.360748425,208737.7336978987,0.0,9777.54600573153
