Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 2, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 3, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 4, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 5, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 6, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 7, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 8, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 9, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 10, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 11, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 12, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 13, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 14, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 15, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 16, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 17, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 18, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 19, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 20, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 21, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 22, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 23, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 24, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 25, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 26, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 27, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 28, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 29, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 30, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 31, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 32, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 33, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 34, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 35, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 36, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 37, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 38, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 39, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 40, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 41, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 42, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 43, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 44, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 45, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 46, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 47, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 48, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 49, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 50, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 51, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 52, 2018",49617.262930947894,3974.1045979068585,0.0,627.355710772612,20.740015905136218
"Week 1, 2019",7517.767110749681,602.137060288918,0.0,95.05389557160788,3.142426652293367
