Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 2, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 3, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 4, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 5, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 6, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 7, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 8, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 9, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 10, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 11, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 12, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 13, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 14, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 15, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 16, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 17, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 18, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 19, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 20, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 21, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 22, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 23, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 24, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 25, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 26, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 27, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 28, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 29, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 30, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 31, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 32, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 33, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 34, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 35, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 36, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 37, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 38, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 39, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 40, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 41, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 42, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 43, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 44, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 45, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 46, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 47, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 48, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 49, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 50, 2018",28706.008729403267,4646.928693115801,0.0,3784.841321357854,325.6122570176213
"Week 51, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 52, 2018",26612.06910062697,4307.961746009494,0.0,3508.758731607105,301.8606998084117
"Week 1, 2019",3921.3778503053554,634.792646407431,0.0,517.0273953582007,44.48018895601365
