Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1149812899.883289,124856227.46100318,4046768.915746325,0.0,2179892.861976966
"Week 2, 2018",1332317889.2568862,144674133.89457235,4689095.609107179,0.0,2525898.1326180142
"Week 3, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 4, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 5, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 6, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 7, 2018",1356104554.378308,147257087.40921843,4772812.82695402,0.0,2570994.497003635
"Week 8, 2018",1148403651.508755,124703199.57653804,4041809.0631327317,0.0,2177221.113840629
"Week 9, 2018",1332317889.2568862,144674133.89457235,4689095.609107179,0.0,2525898.1326180142
"Week 10, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 11, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 12, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 13, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 14, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 15, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 16, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 17, 2018",1356104554.378308,147257087.40921843,4772812.82695402,0.0,2570994.497003635
"Week 18, 2018",1148403651.508755,124703199.57653804,4041809.0631327317,0.0,2177221.113840629
"Week 19, 2018",1332317889.2568862,144674133.89457235,4689095.609107179,0.0,2525898.1326180142
"Week 20, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 21, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 22, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 23, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 24, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 25, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 26, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 27, 2018",1356104554.378308,147257087.40921843,4772812.82695402,0.0,2570994.497003635
"Week 28, 2018",1076391738.000895,116883548.35001928,3788362.9823168,0.0,2040696.0702887422
"Week 29, 2018",1077800986.3754292,117036576.23448442,3793322.8349303943,0.0,2043367.8184250796
"Week 30, 2018",1428973013.9290683,155169749.5139192,5029273.523366685,0.0,2709143.4383262475
"Week 31, 2018",1082329582.2706761,117528328.76155499,3809261.237693767,0.0,2051953.436022368
"Week 32, 2018",1077800986.3754292,117036576.23448442,3793322.8349303943,0.0,2043367.8184250796
"Week 33, 2018",1149812899.883289,124856227.46100318,4046768.915746325,0.0,2179892.861976966
"Week 34, 2018",1332317889.2568862,144674133.89457235,4689095.609107179,0.0,2525898.1326180142
"Week 35, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 36, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 37, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 38, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 39, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 40, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 41, 2018",1356104554.378308,147257087.40921843,4772812.82695402,0.0,2570994.497003635
"Week 42, 2018",1148403651.508755,124703199.57653804,4041809.0631327317,0.0,2177221.113840629
"Week 43, 2018",1332317889.2568862,144674133.89457235,4689095.609107179,0.0,2525898.1326180142
"Week 44, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 45, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 46, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 47, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 48, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 49, 2018",1335196556.1602833,144986723.43823764,4699227.083318885,0.0,2531355.7035283437
"Week 50, 2018",1356104554.378308,147257087.40921843,4772812.82695402,0.0,2570994.497003635
"Week 51, 2018",1076391738.000895,116883548.35001928,3788362.9823168,0.0,2040696.0702887422
"Week 52, 2018",1077800986.3754292,117036576.23448442,3793322.8349303943,0.0,2043367.8184250796
"Week 1, 2019",169931229.68135235,18452543.25114679,598073.3197191019,0.0,322167.0887906621
