Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 2, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 3, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 4, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 5, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 6, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 7, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 8, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 9, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 10, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 11, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 12, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 13, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 14, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 15, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 16, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 17, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 18, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 19, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 20, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 21, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 22, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 23, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 24, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 25, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 26, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 27, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 28, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 29, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 30, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 31, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 32, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 33, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 34, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 35, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 36, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 37, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 38, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 39, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 40, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 41, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 42, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 43, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 44, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 45, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 46, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 47, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 48, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 49, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 50, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 51, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 52, 2018",184883581.44919464,5991275.703639916,0.0,5320641.338238077,337227.652563331
"Week 1, 2019",28012663.855938584,907769.0460060477,0.0,806157.7785209209,51095.098873231975
