Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 2, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 3, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 4, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 5, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 6, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 7, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 8, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 9, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 10, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 11, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 12, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 13, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 14, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 15, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 16, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 17, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 18, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 19, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 20, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 21, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 22, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 23, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 24, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 25, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 26, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 27, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
"Week 28, 2018",368.622222276,53.48708445224761,23.9235822257124,20.5322577807732,2.8015288892976002,33.913244449392,16.993484446923603
