Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",260.55482856846106,38.19108820001835,17.082023545256078,14.660534838239828,2.0003601909169317,24.214887070162494,12.133764002198749
"Week 2, 2018",301.10562401492894,44.134862161090965,19.74054131827606,16.94219030640965,2.3116812183060538,27.98351011866407,14.022171846153151
"Week 3, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 4, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 5, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 6, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 7, 2018",306.66721530064143,44.950058043247836,20.10516028854653,17.2551221497695,2.3543792786997675,28.500381387770265,14.281169295973159
"Week 8, 2018",260.3958588991087,38.16778705953779,17.071601463847042,14.651590155124307,1.9991397314847161,24.20011308722732,12.126360952092071
"Week 9, 2018",301.10562401492894,44.134862161090965,19.74054131827606,16.94219030640965,2.3116812183060538,27.98351011866407,14.022171846153151
"Week 10, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 11, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 12, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 13, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 14, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 15, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 16, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 17, 2018",306.66721530064143,44.950058043247836,20.10516028854653,17.2551221497695,2.3543792786997675,28.500381387770265,14.281169295973159
"Week 18, 2018",260.3958588991087,38.16778705953779,17.071601463847042,14.651590155124307,1.9991397314847161,24.20011308722732,12.126360952092071
"Week 19, 2018",301.10562401492894,44.134862161090965,19.74054131827606,16.94219030640965,2.3116812183060538,27.98351011866407,14.022171846153151
"Week 20, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 21, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 22, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 23, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 24, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 25, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 26, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 27, 2018",306.66721530064143,44.950058043247836,20.10516028854653,17.2551221497695,2.3543792786997675,28.500381387770265,14.281169295973159
"Week 28, 2018",243.58668341654854,35.70396511867759,15.969588759085406,13.705794968298937,1.8700904804607021,22.637937907864675,11.343575349931028
"Week 29, 2018",243.74565308590087,35.72726625915816,15.980010840494444,13.714739651414456,1.8713109398929175,22.65271189079985,11.350978400037706
"Week 30, 2018",325.46886606248836,47.705929068539426,21.33780004720356,18.31302715012934,2.4987253801102023,30.24772897074217,15.156742373814119
"Week 31, 2018",245.90721382325577,36.044099216058534,16.12172316880885,13.836363329122031,1.8879059117574197,22.85359839686816,11.451640007452866
"Week 32, 2018",243.74565308590087,35.72726625915816,15.980010840494444,13.714739651414456,1.8713109398929175,22.65271189079985,11.350978400037706
"Week 33, 2018",260.55482856846106,38.19108820001835,17.082023545256078,14.660534838239828,2.0003601909169317,24.214887070162494,12.133764002198749
"Week 34, 2018",301.10562401492894,44.134862161090965,19.74054131827606,16.94219030640965,2.3116812183060538,27.98351011866407,14.022171846153151
"Week 35, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 36, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 37, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 38, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 39, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 40, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 41, 2018",306.66721530064143,44.950058043247836,20.10516028854653,17.2551221497695,2.3543792786997675,28.500381387770265,14.281169295973159
"Week 42, 2018",260.3958588991087,38.16778705953779,17.071601463847042,14.651590155124307,1.9991397314847161,24.20011308722732,12.126360952092071
"Week 43, 2018",301.10562401492894,44.134862161090965,19.74054131827606,16.94219030640965,2.3116812183060538,27.98351011866407,14.022171846153151
"Week 44, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 45, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 46, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 47, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 48, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 49, 2018",301.76049369949317,44.23085034914383,19.78347469791159,16.979037598312892,2.316708855884056,28.04437099598698,14.052668437785533
"Week 50, 2018",306.66721530064143,44.950058043247836,20.10516028854653,17.2551221497695,2.3543792786997675,28.500381387770265,14.281169295973159
"Week 51, 2018",243.58668341654854,35.70396511867759,15.969588759085406,13.705794968298937,1.8700904804607021,22.637937907864675,11.343575349931028
"Week 52, 2018",243.74565308590087,35.72726625915816,15.980010840494444,13.714739651414456,1.8713109398929175,22.65271189079985,11.350978400037706
"Week 1, 2019",38.34447064642504,5.620379666292986,2.5138707043401074,2.1575130687630804,0.2943823879385054,3.563576355770267,1.7856616212764234
