Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",608429.3968350705,23690.041557052453,12759.484311731827,12468.016014652752,116.77752731539638
"Week 2, 2018",703120.775805981,27376.98159411243,14745.274562368093,14408.444329918559,134.9519040825754
"Week 3, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 4, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 5, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 6, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 7, 2018",716107.8144649869,27882.64993810649,15017.628128595197,14674.57645112389,137.44454212675473
"Week 8, 2018",608058.1819910757,23675.587792775816,12751.699497252332,12460.409030762956,116.70627902954764
"Week 9, 2018",703120.775805981,27376.98159411243,14745.274562368093,14408.444329918559,134.9519040825754
"Week 10, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 11, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 12, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 13, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 14, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 15, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 16, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 17, 2018",716107.8144649869,27882.64993810649,15017.628128595197,14674.57645112389,137.44454212675473
"Week 18, 2018",608058.1819910757,23675.587792775816,12751.699497252332,12460.409030762956,116.70627902954764
"Week 19, 2018",703120.775805981,27376.98159411243,14745.274562368093,14408.444329918559,134.9519040825754
"Week 20, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 21, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 22, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 23, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 24, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 25, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 26, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 27, 2018",716107.8144649869,27882.64993810649,15017.628128595197,14674.57645112389,137.44454212675473
"Week 28, 2018",568806.572046485,22147.271975680884,11928.546796374558,11656.059826178547,109.172609590955
"Week 29, 2018",569177.7868904797,22161.72573995752,11936.331610854055,11663.666810068344,109.24385787680373
"Week 30, 2018",760012.1132084985,29592.12463998218,15938.353218391083,15574.269172569742,145.87121492141844
"Week 31, 2018",574225.3122150992,22358.25813192037,12042.18418886486,11767.10136945861,110.21264329305261
"Week 32, 2018",569177.7868904797,22161.72573995752,11936.331610854055,11663.666810068344,109.24385787680373
"Week 33, 2018",608429.3968350705,23690.041557052453,12759.484311731827,12468.016014652752,116.77752731539638
"Week 34, 2018",703120.775805981,27376.98159411243,14745.274562368093,14408.444329918559,134.9519040825754
"Week 35, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 36, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 37, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 38, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 39, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 40, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 41, 2018",716107.8144649869,27882.64993810649,15017.628128595197,14674.57645112389,137.44454212675473
"Week 42, 2018",608058.1819910757,23675.587792775816,12751.699497252332,12460.409030762956,116.70627902954764
"Week 43, 2018",703120.775805981,27376.98159411243,14745.274562368093,14408.444329918559,134.9519040825754
"Week 44, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 45, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 46, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 47, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 48, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 49, 2018",704649.9816524975,27436.523342492288,14777.343818241547,14439.781019242328,135.2454087660134
"Week 50, 2018",716107.8144649869,27882.64993810649,15017.628128595197,14674.57645112389,137.44454212675473
"Week 51, 2018",568806.572046485,22147.271975680884,11928.546796374558,11656.059826178547,109.172609590955
"Week 52, 2018",569177.7868904797,22161.72573995752,11936.331610854055,11663.666810068344,109.24385787680373
"Week 1, 2019",89539.32374058651,3486.3376283902135,1877.745556828817,1834.8517151636431,17.185528638671055
