Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 2, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 3, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 4, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 5, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 6, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 7, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 8, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 9, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 10, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 11, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 12, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 13, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 14, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 15, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 16, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 17, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 18, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 19, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 20, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 21, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 22, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 23, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 24, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 25, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 26, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 27, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 28, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 29, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 30, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 31, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 32, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 33, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 34, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 35, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 36, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 37, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 38, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 39, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 40, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 41, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 42, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 43, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 44, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 45, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 46, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 47, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 48, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 49, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 50, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 51, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 52, 2018",66072.77600674212,1054.5875778436111,0.0,1104.0760870726608,220.94736296654565
"Week 1, 2019",9438.96800096316,150.655368263373,0.0,157.72515529609439,31.56390899522081
