Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 2, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 3, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 4, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 5, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 6, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 7, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 8, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 9, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 10, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 11, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 12, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 13, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 14, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 15, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 16, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 17, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 18, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 19, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 20, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 21, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 22, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 23, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 24, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 25, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 26, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 27, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 28, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 29, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 30, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 31, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 32, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 33, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 34, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 35, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 36, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 37, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 38, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 39, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 40, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 41, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 42, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 43, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 44, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 45, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 46, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 47, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 48, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 49, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 50, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 51, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 52, 2018",107980138.92146738,1760437.4760604857,316.0567868217458,4797081.16289286,53342.18862720489
"Week 1, 2019",16360627.109313238,266732.95091825543,47.887391942688744,726830.4792261911,8082.1497920007405
