Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 2, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 3, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 4, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 5, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 6, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 7, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 8, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 9, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 10, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 11, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 12, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 13, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 14, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 15, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 16, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 17, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 18, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 19, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 20, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 21, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 22, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 23, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 24, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 25, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 26, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 27, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 28, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 29, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 30, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 31, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 32, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 33, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 34, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 35, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 36, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 37, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 38, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 39, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 40, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 41, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 42, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 43, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 44, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 45, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 46, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 47, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 48, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 49, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 50, 2018",1563.8518521919998,1188.52740766592,531.5532445600608,456.1755852844064,62.2413037172416,377.67022230436794,377.67022230436794
"Week 51, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 52, 2018",1449.7777780919998,1101.8311113499199,492.77946677347074,422.9001778694364,57.7011555680616,350.121333409218,350.121333409218
"Week 1, 2019",213.62962967599998,162.35851855375998,72.6127111268724,62.315762976489204,8.5024592611048,51.591555566753996,51.591555566753996
