Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 2, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 3, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 4, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 5, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 6, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 7, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 8, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 9, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 10, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 11, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 12, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 13, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 14, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 15, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 16, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 17, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 18, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 19, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 20, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 21, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 22, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 23, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 24, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 25, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 26, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 27, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 28, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 29, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 30, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 31, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 32, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 33, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 34, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 35, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 36, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 37, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 38, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 39, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 40, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 41, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 42, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 43, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 44, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 45, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 46, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 47, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 48, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 49, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 50, 2018",156696391.73778617,9789825.796909638,22919.051774838394,28789690.625700857,467738.7293372918
"Week 51, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 52, 2018",145266283.5870403,9075713.835589625,21247.23765331529,26689646.879773784,433619.8565073153
"Week 1, 2019",21405475.26390552,1337336.94573109,3130.851900274933,3932809.1968778023,63895.34366275798
