Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",197.9836534038058,28.96060414862317,12.953433528798014,11.11719948816507,1.5168889814800979,18.362340406329427,9.201129331231657
"Week 2, 2018",227.93209869789132,33.341395462033866,14.912863960241518,12.798867822750653,1.7463446254084496,21.13996137490865,10.592958978188259
"Week 3, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 4, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 5, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 6, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 7, 2018",233.030864176312,34.087231424389984,15.24645978276604,13.085174252561602,1.7854097756892795,21.612855302044366,10.829919958501526
"Week 8, 2018",197.33790580391928,28.86614564006088,12.911184340707468,11.080939399195502,1.5119414648430187,18.30244941511965,9.17111873651973
"Week 9, 2018",227.93209869789132,33.341395462033866,14.912863960241518,12.798867822750653,1.7463446254084496,21.13996137490865,10.592958978188259
"Week 10, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 11, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 12, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 13, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 14, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 15, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 16, 2018",228.88703696999406,33.4810816876857,14.97534249934878,12.8524896197391,1.75366106450856,21.228528796096796,10.637338958019418
"Week 17, 2018",233.030864176312,34.087231424389984,15.24645978276604,13.085174252561602,1.7854097756892795,21.612855302044366,10.829919958501526
