Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",7961528.7313301,989905.360041621,0.0,0.0,9149.812371373057
"Week 2, 2018",9165847.388796324,1139645.6341089073,0.0,0.0,10533.87944228582
"Week 3, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 4, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 5, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 6, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 7, 2018",9370884.35600475,1165139.1291015947,0.0,0.0,10769.518832968397
"Week 8, 2018",7935561.243705261,986676.6641398543,0.0,0.0,9119.96915312425
"Week 9, 2018",9165847.388796324,1139645.6341089073,0.0,0.0,10533.87944228582
"Week 10, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 11, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 12, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 13, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 14, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 15, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 16, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 17, 2018",9370884.35600475,1165139.1291015947,0.0,0.0,10769.518832968397
"Week 18, 2018",7935561.243705261,986676.6641398543,0.0,0.0,9119.96915312425
"Week 19, 2018",9165847.388796324,1139645.6341089073,0.0,0.0,10533.87944228582
"Week 20, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 21, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 22, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 23, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 24, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 25, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 26, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 27, 2018",9370884.35600475,1165139.1291015947,0.0,0.0,10769.518832968397
"Week 28, 2018",7407426.949661489,921010.5105482205,0.0,0.0,8513.009125664703
"Week 29, 2018",7433394.4372863285,924239.2064499873,0.0,0.0,8542.852343913512
"Week 30, 2018",9953109.537362143,1237530.7321751162,0.0,0.0,11438.642985763961
"Week 31, 2018",7443626.978848962,925511.480667857,0.0,0.0,8554.612125048501
"Week 32, 2018",7433394.4372863285,924239.2064499873,0.0,0.0,8542.852343913512
"Week 33, 2018",7961528.7313301,989905.360041621,0.0,0.0,9149.812371373057
"Week 34, 2018",9165847.388796324,1139645.6341089073,0.0,0.0,10533.87944228582
"Week 35, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 36, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 37, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 38, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 39, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 40, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 41, 2018",9370884.35600475,1165139.1291015947,0.0,0.0,10769.518832968397
"Week 42, 2018",7935561.243705261,986676.6641398543,0.0,0.0,9119.96915312425
"Week 43, 2018",9165847.388796324,1139645.6341089073,0.0,0.0,10533.87944228582
"Week 44, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 45, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 46, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 47, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 48, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 49, 2018",9204248.379783627,1144420.2632149549,0.0,0.0,10578.011904061148
"Week 50, 2018",9370884.35600475,1165139.1291015947,0.0,0.0,10769.518832968397
"Week 51, 2018",7407426.949661489,921010.5105482205,0.0,0.0,8513.009125664703
"Week 52, 2018",7433394.4372863285,924239.2064499873,0.0,0.0,8542.852343913512
"Week 1, 2019",1165010.9398790023,144852.90612029005,0.0,0.0,1338.8925506909509
